Parameter,Outcome,mu,mu_star,mu_star_conf,sigma,mu_star_norm,sigma_norm,Method,delta_raw_4000,delta_4000,delta_conf_4000,S1_4000,S1_conf_4000,delta_4000_norm,ComputedAt,Methods
CO2 Cap,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.05991664175299057,0.05991664175299057,0.015959056349930188,0.0,0.0,0.4611754655558321,20251109_120730,Delta_4000
Buildings demand,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.08495276084260649,0.08495276084260649,0.018788372517352284,0.0,0.0,0.8243030495589885,20251109_120730,Delta_4000
Steel Production,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.0682807789970556,0.0682807789970556,0.01519817898948655,0.0,0.0,0.5824901525021766,20251109_120730,Delta_4000
Chemical Production,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.06280340510738504,0.06280340510738504,0.013757091223230152,0.0,0.0,0.5030455093400898,20251109_120730,Delta_4000
Passenger Cars,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.045331953582313185,0.045331953582313185,0.020139660141602896,0.0,0.0,0.24963698549427463,20251109_120730,Delta_4000
Bunker aviation,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.0809794889649455,0.0809794889649455,0.016592252803379576,0.0,0.0,0.7666741250296615,20251109_120730,Delta_4000
Bunker navigation,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.07344926706183214,0.07344926706183214,0.01486229887996163,0.0,0.0,0.6574546698538252,20251109_120730,Delta_4000
Agriculture neGHG CH4,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.0720619657315734,0.0720619657315734,0.016504771702545513,0.0,0.0,0.6373330456301186,20251109_120730,Delta_4000
Agriculture neGHG N2O,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.028120533758163847,0.028120533758163847,0.015495472678641903,0.0,0.0,0.0,20251109_120730,Delta_4000
Wind offshore Costs,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.06225403593338981,0.06225403593338981,0.01513413851076194,0.0,0.0,0.49507737737184726,20251109_120730,Delta_4000
Wind offshore Potential,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.06046955708926501,0.06046955708926501,0.015669467401050425,0.0,0.0,0.46919503158764997,20251109_120730,Delta_4000
Solar PV Costs,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.09706632634603371,0.09706632634603371,0.016610459882075684,0.0,0.0,1.0,20251109_120730,Delta_4000
Solar PV Potential,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.046695488259575105,0.046695488259575105,0.019710451506778897,0.0,0.0,0.26941389465844334,20251109_120730,Delta_4000
Nuclear Costs,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.06637637355620106,0.06637637355620106,0.015241055807054,0.0,0.0,0.5548683735745151,20251109_120730,Delta_4000
Nuclear Potential,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.04267041839529503,0.04267041839529503,0.014474178346219654,0.0,0.0,0.2110336844498187,20251109_120730,Delta_4000
Hydrogen Import Potential,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.04146681619421739,0.04146681619421739,0.018377601708885985,0.0,0.0,0.19357645963738837,20251109_120730,Delta_4000
Hydrogen Import Price,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.08409349134685576,0.08409349134685576,0.019740634880671803,0.0,0.0,0.8118400773673844,20251109_120730,Delta_4000
Biomass Import Potential,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.06948331963169696,0.06948331963169696,0.018026529968178134,0.0,0.0,0.5999319801975903,20251109_120730,Delta_4000
Biomass Import Price,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.054921723547038115,0.054921723547038115,0.018583222430210915,0.0,0.0,0.388728431176083,20251109_120730,Delta_4000
Ammonia Import Potential,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.058055122540613596,0.058055122540613596,0.015305820524720327,0.0,0.0,0.4341757148458158,20251109_120730,Delta_4000
Ammonia Import Price,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.06446829561898801,0.06446829561898801,0.01380582979599068,0.0,0.0,0.5271933282150575,20251109_120730,Delta_4000
CCS potential,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.06824782741302386,0.06824782741302386,0.019331320257237446,0.0,0.0,0.5820122178408302,20251109_120730,Delta_4000
Flexibility Costs,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.04964448158074579,0.04964448158074579,0.018689453771816085,0.0,0.0,0.3121865311092066,20251109_120730,Delta_4000
LNG Price,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.0801856009332168,0.0801856009332168,0.01725125116324025,0.0,0.0,0.7551594552879669,20251109_120730,Delta_4000
Electricity Trade Price,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.07704841861281028,0.07704841861281028,0.014674251080675854,0.0,0.0,0.7096572976848289,20251109_120730,Delta_4000
Weather Conditions,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.07754351928578551,0.07754351928578551,0.01561407042831235,0.0,0.0,0.7168383112665385,20251109_120730,Delta_4000
Electricity Trade Ratio,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.059063107594910916,0.059063107594910916,0.01773540958246533,0.0,0.0,0.4487956795523302,20251109_120730,Delta_4000
Electricity Trade Volume,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.0635721001912055,0.0635721001912055,0.01355637833651214,0.0,0.0,0.5141947768293392,20251109_120730,Delta_4000
WACC,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.07664536928907498,0.07664536928907498,0.0165335684403475,0.0,0.0,0.7038114105232355,20251109_120730,Delta_4000
Bunker Emission Reduction,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.07134481379540492,0.07134481379540492,0.015090033950489716,0.0,0.0,0.6269313675979965,20251109_120730,Delta_4000
End-of-Life Emission Reduction,techUseNet 2050 TNB01_04,,,,,,,Delta_4000,0.04831624951797222,0.04831624951797222,0.013449140332719387,0.0,0.0,0.2929216563007726,20251109_120730,Delta_4000
