Parameter,Outcome,mu,mu_star,mu_star_conf,sigma,mu_star_norm,sigma_norm,Method,delta_raw_4000,delta_4000,delta_conf_4000,S1_4000,S1_conf_4000,delta_4000_norm,ComputedAt,Methods
Buildings demand,techUseNet 2050 TNB01_07,-2.577812849999998,3.2970798,2.1098390281499517,5.0166404438403305,0.1198014928588878,0.2006133863431329,Morris,,,,,,,20251109_120516,Morris
Steel Production,techUseNet 2050 TNB01_07,0.6767999249999981,3.124188375,1.390361397565786,4.451385879884534,0.1135193729000381,0.1780090890069907,Morris,,,,,,,20251109_120516,Morris
Chemical Production,techUseNet 2050 TNB01_07,1.3357764000000016,11.157377999999998,4.357304352284697,15.478308034463884,0.4054104304029622,0.6189711669427255,Morris,,,,,,,20251109_120516,Morris
Passenger Cars,techUseNet 2050 TNB01_07,-0.1171022999999998,0.8327959500000016,0.5160129344650347,1.4808210812343912,0.0302601708508347,0.0592174254863113,Morris,,,,,,,20251109_120516,Morris
Bunker aviation,techUseNet 2050 TNB01_07,-1.6479613499999997,5.825703450000002,2.086190456034814,7.633024469923964,0.2116806424470447,0.3052415065607563,Morris,,,,,,,20251109_120516,Morris
Bunker navigation,techUseNet 2050 TNB01_07,27.521191275,27.521191275,3.970395263919772,10.717799175444531,1.0,0.4286003772448157,Morris,,,,,,,20251109_120516,Morris
Agriculture neGHG CH4,techUseNet 2050 TNB01_07,-2.7222158249999984,4.650592125,2.287962278498324,6.213646408316747,0.1689822245894041,0.2484811621374679,Morris,,,,,,,20251109_120516,Morris
Agriculture neGHG N2O,techUseNet 2050 TNB01_07,-1.5133741499999984,2.032519349999998,0.950982588746173,2.9986463952006037,0.0738528841172046,0.1199146350074692,Morris,,,,,,,20251109_120516,Morris
Wind offshore Costs,techUseNet 2050 TNB01_07,-3.730583624999999,7.801524225,4.207766348749722,12.272323201623765,0.2834733477575454,0.490765153161035,Morris,,,,,,,20251109_120516,Morris
Wind offshore Potential,techUseNet 2050 TNB01_07,4.7559015749999975,8.118234224999998,5.017580480733335,12.572410286818734,0.2949812071679661,0.502765512172756,Morris,,,,,,,20251109_120516,Morris
Solar PV Costs,techUseNet 2050 TNB01_07,0.5000536500000002,0.5028813,0.8310645766353679,1.921483282887644,0.018272512078967,0.0768393255400863,Morris,,,,,,,20251109_120516,Morris
Solar PV Potential,techUseNet 2050 TNB01_07,1.8606231,3.1406280000000004,1.9603332956890496,5.138223251317682,0.114116717136911,0.2054754327668676,Morris,,,,,,,20251109_120516,Morris
Nuclear Costs,techUseNet 2050 TNB01_07,-0.6080540249999984,3.367958925000001,3.6042493999628182,8.176977260206353,0.1223769309746204,0.326993954736175,Morris,,,,,,,20251109_120516,Morris
Nuclear Potential,techUseNet 2050 TNB01_07,1.700114099999999,1.7665846500000004,1.8126475743411952,4.341753315686591,0.064189977546675,0.1736249278929058,Morris,,,,,,,20251109_120516,Morris
Hydrogen Import Potential,techUseNet 2050 TNB01_07,-1.0814572499999997,2.439576750000002,2.339962324324743,6.207151329496924,0.088643573805473,0.2482214266090406,Morris,,,,,,,20251109_120516,Morris
Hydrogen Import Price,techUseNet 2050 TNB01_07,0.165601799999998,2.233805100000001,1.4715002929527945,4.582817570485829,0.0811667299456317,0.1832649882127437,Morris,,,,,,,20251109_120516,Morris
Biomass Import Potential,techUseNet 2050 TNB01_07,-21.783465975,21.783465975,7.245474609658989,16.394527540329335,0.791516099624216,0.6556104078376925,Morris,,,,,,,20251109_120516,Morris
Biomass Import Price,techUseNet 2050 TNB01_07,21.23247975,21.23247975,11.011015599125315,25.006508963762634,0.7714956644804614,1.0,Morris,,,,,,,20251109_120516,Morris
Ammonia Import Potential,techUseNet 2050 TNB01_07,16.117382550000006,16.117382700000004,8.703534925489997,19.650741969914684,0.5856353578211888,0.7858250825171524,Morris,,,,,,,20251109_120516,Morris
Ammonia Import Price,techUseNet 2050 TNB01_07,-6.86589135,6.86589135,5.255576793582325,11.608132834551403,0.249476531789411,0.464204453783331,Morris,,,,,,,20251109_120516,Morris
CCS potential,techUseNet 2050 TNB01_07,23.3843829,23.39632755,6.791994792922849,16.837699185016625,0.850120451408403,0.6733326594854334,Morris,,,,,,,20251109_120516,Morris
Flexibility Costs,techUseNet 2050 TNB01_07,-1.1949964500000012,1.6506672000000002,1.16526106767844,2.842237893097206,0.0599780432287991,0.1136599233909836,Morris,,,,,,,20251109_120516,Morris
LNG Import Price,techUseNet 2050 TNB01_07,7.210179225,7.246316175000001,4.548724933085263,11.86451510291394,0.2632995099155642,0.4744570751601918,Morris,,,,,,,20251109_120516,Morris
Electricity Trade Price,techUseNet 2050 TNB01_07,-2.6847947250000006,3.864968624999999,2.502006230175491,6.558800005092596,0.1404360947307866,0.2622837123965231,Morris,,,,,,,20251109_120516,Morris
Weather Conditions,techUseNet 2050 TNB01_07,-1.7042150249999992,5.697379424999999,2.908130032740787,8.810132659939224,0.2070179073307574,0.3523135785449356,Morris,,,,,,,20251109_120516,Morris
