Parameter,Outcome,delta_raw_1600,delta_1600,delta_conf_1600,S1_1600,S1_conf_1600,delta_1600_norm
CO2 Cap,BioEnergy Imports 2050,0.08165124021791094,0.08165124021791094,0.014230240832058937,0.0,0.0,0.12753636546685018
Buildings demand,BioEnergy Imports 2050,0.06857800844615397,0.06857800844615397,0.011866447922035346,0.0,0.0,0.08228683475530096
Steel Production,BioEnergy Imports 2050,0.05450058393877394,0.05450058393877394,0.011751878293697027,0.0,0.0,0.03356155674390994
Chemical Production,BioEnergy Imports 2050,0.08790658481406999,0.08790658481406999,0.015952157870814474,0.0,0.0,0.14918758471829177
Passenger Cars,BioEnergy Imports 2050,0.06538678837359328,0.06538678837359328,0.010818647844087015,0.0,0.0,0.07124127133213827
Bunker aviation,BioEnergy Imports 2050,0.06719412557516918,0.06719412557516918,0.011631010282388091,0.0,0.0,0.07749689057278478
Bunker navigation,BioEnergy Imports 2050,0.07186789745095828,0.07186789745095828,0.012465173236192822,0.0,0.0,0.09367391456536649
Agriculture neGHG CH4,BioEnergy Imports 2050,0.044804173765350376,0.044804173765350376,0.010153548293577362,0.0,0.0,0.0
Agriculture neGHG N2O,BioEnergy Imports 2050,0.0604214093557568,0.0604214093557568,0.01178166598376443,0.0,0.0,0.054054926418750565
Wind offshore Costs,BioEnergy Imports 2050,0.05435470534641343,0.05435470534641343,0.014351902407335701,0.0,0.0,0.033056636617011026
Wind offshore Potential,BioEnergy Imports 2050,0.08410171265470004,0.08410171265470004,0.01317701677177935,0.0,0.0,0.1360180270576621
Solar PV Costs,BioEnergy Imports 2050,0.05700242807724907,0.05700242807724907,0.013372292629284119,0.0,0.0,0.04222102787973188
Solar PV Potential,BioEnergy Imports 2050,0.0644955363367766,0.0644955363367766,0.010388979755281738,0.0,0.0,0.06815643836078436
Nuclear Costs,BioEnergy Imports 2050,0.05873965522204522,0.05873965522204522,0.013615204444736712,0.0,0.0,0.04823397972008816
Nuclear Potential,BioEnergy Imports 2050,0.06885977011116547,0.06885977011116547,0.009514559880074984,0.0,0.0,0.08326207816388329
Hydrogen Import Potential,BioEnergy Imports 2050,0.10158855711677812,0.10158855711677812,0.012377464290317068,0.0,0.0,0.19654410961701263
Hydrogen Import Price,BioEnergy Imports 2050,0.04711880807406635,0.04711880807406635,0.013134467158686755,0.0,0.0,0.008011493872885949
Biomass Import Potential,BioEnergy Imports 2050,0.3337183694747931,0.3337183694747931,0.016872814148266413,0.0,0.0,1.0
Biomass Import Price,BioEnergy Imports 2050,0.232905488971671,0.232905488971671,0.018874062407232526,0.0,0.0,0.6510629037954635
Ammonia Import Potential,BioEnergy Imports 2050,0.0803958526602208,0.0803958526602208,0.01592780808561156,0.0,0.0,0.12319117379287418
Ammonia Import Price,BioEnergy Imports 2050,0.07019450666268315,0.07019450666268315,0.01252987348362345,0.0,0.0,0.08788191537278252
CCS potential,BioEnergy Imports 2050,0.09425996790592345,0.09425996790592345,0.01365705611339526,0.0,0.0,0.1711781382674257
Flexibility Costs,BioEnergy Imports 2050,0.07640122014424158,0.07640122014424158,0.012149621580826383,0.0,0.0,0.10936481089585487
LNG Price,BioEnergy Imports 2050,0.06833637146410691,0.06833637146410691,0.010226826667722564,0.0,0.0,0.08145047231401037
Electricity Trade Price,BioEnergy Imports 2050,0.0800918596259855,0.0800918596259855,0.011813313359557098,0.0,0.0,0.12213898238535671
Weather Conditions,BioEnergy Imports 2050,0.05849145797782212,0.05849145797782212,0.013655377646214608,0.0,0.0,0.04737491066806862
Electricity Trade Ratio,BioEnergy Imports 2050,0.07460887971782125,0.07460887971782125,0.01342299838647711,0.0,0.0,0.10316109902209541
Electricity Trade Volume,BioEnergy Imports 2050,0.08003094832059719,0.08003094832059719,0.011099597969048849,0.0,0.0,0.121928154027689
WACC,BioEnergy Imports 2050,0.07003621174755933,0.07003621174755933,0.014134064754650535,0.0,0.0,0.08733401943179177
Bunker Emission Reduction,BioEnergy Imports 2050,0.10202391430854699,0.10202391430854699,0.014429718503634092,0.0,0.0,0.19805098327789253
End-of-Life Emission Reduction,BioEnergy Imports 2050,0.0718170150598883,0.0718170150598883,0.011295105359514284,0.0,0.0,0.09349779863951162
CO2 Cap,BioFuel Production 2050,0.0763943646461617,0.0763943646461617,0.014659392191168078,0.0,0.0,0.28655290539721295
Buildings demand,BioFuel Production 2050,0.058544036126744955,0.058544036126744955,0.012058687182936626,0.0,0.0,0.15649407050023018
Steel Production,BioFuel Production 2050,0.05679224310990758,0.05679224310990758,0.013780955558739736,0.0,0.0,0.14373037494680047
Chemical Production,BioFuel Production 2050,0.07841544292322083,0.07841544292322083,0.015018205409883575,0.0,0.0,0.30127863359117796
Passenger Cars,BioFuel Production 2050,0.060457089419347944,0.060457089419347944,0.011446165627953244,0.0,0.0,0.1704327205402638
Bunker aviation,BioFuel Production 2050,0.06091563829086938,0.06091563829086938,0.01161896340832401,0.0,0.0,0.17377374207432308
Bunker navigation,BioFuel Production 2050,0.09793624142357649,0.09793624142357649,0.015125204027994521,0.0,0.0,0.4435086382912809
Agriculture neGHG CH4,BioFuel Production 2050,0.0782436937975553,0.0782436937975553,0.013216605517201706,0.0,0.0,0.300027256556053
Agriculture neGHG N2O,BioFuel Production 2050,0.058677678750466526,0.058677678750466526,0.013584031387057674,0.0,0.0,0.1574678006988031
Wind offshore Costs,BioFuel Production 2050,0.06526259803132925,0.06526259803132925,0.014159710731387654,0.0,0.0,0.2054460173813758
Wind offshore Potential,BioFuel Production 2050,0.07298288422082633,0.07298288422082633,0.010159541379684792,0.0,0.0,0.26169660267368866
Solar PV Costs,BioFuel Production 2050,0.0965182215494129,0.0965182215494129,0.012473896257568184,0.0,0.0,0.4331768389356628
Solar PV Potential,BioFuel Production 2050,0.06843407310136712,0.06843407310136712,0.013034276613534094,0.0,0.0,0.22855362305178561
Nuclear Costs,BioFuel Production 2050,0.04799695070787008,0.04799695070787008,0.01441161289921059,0.0,0.0,0.07964721361209469
Nuclear Potential,BioFuel Production 2050,0.0626522932447533,0.0626522932447533,0.013394989338880496,0.0,0.0,0.18642714056357376
Hydrogen Import Potential,BioFuel Production 2050,0.09998958868073228,0.09998958868073228,0.012920643245561237,0.0,0.0,0.4584694806989771
Hydrogen Import Price,BioFuel Production 2050,0.06236469065167541,0.06236469065167541,0.011457861289536972,0.0,0.0,0.1843316464594527
Biomass Import Potential,BioFuel Production 2050,0.14642408076177987,0.14642408076177987,0.017565339459421056,0.0,0.0,0.7967946791694168
Biomass Import Price,BioFuel Production 2050,0.17431362580185725,0.17431362580185725,0.01723408764325544,0.0,0.0,1.0
Ammonia Import Potential,BioFuel Production 2050,0.09664543233388051,0.09664543233388051,0.018365350249694466,0.0,0.0,0.4341037062701318
Ammonia Import Price,BioFuel Production 2050,0.10790486686798899,0.10790486686798899,0.015558561845355215,0.0,0.0,0.5161407923390021
CCS potential,BioFuel Production 2050,0.10083266437729671,0.10083266437729671,0.015176339238508191,0.0,0.0,0.4646121935743092
Flexibility Costs,BioFuel Production 2050,0.07248937116523452,0.07248937116523452,0.013063486811203456,0.0,0.0,0.25810082946722346
LNG Price,BioFuel Production 2050,0.05670673635890164,0.05670673635890164,0.012797460311037396,0.0,0.0,0.14310736633384621
Electricity Trade Price,BioFuel Production 2050,0.045966446042634265,0.045966446042634265,0.01430532776514877,0.0,0.0,0.06485280404555935
Weather Conditions,BioFuel Production 2050,0.06739105559550687,0.06739105559550687,0.013077439863292512,0.0,0.0,0.22095411912995114
Electricity Trade Ratio,BioFuel Production 2050,0.050014781294161405,0.050014781294161405,0.014173355070980354,0.0,0.0,0.09434927888708833
Electricity Trade Volume,BioFuel Production 2050,0.07215157318242704,0.07215157318242704,0.012446452905007873,0.0,0.0,0.2556396079817644
WACC,BioFuel Production 2050,0.06586550718654685,0.06586550718654685,0.013668717977328953,0.0,0.0,0.20983885878992636
Bunker Emission Reduction,BioFuel Production 2050,0.10829720178484444,0.10829720178484444,0.012571073536481925,0.0,0.0,0.518999374023934
End-of-Life Emission Reduction,BioFuel Production 2050,0.037065521637648306,0.037065521637648306,0.012863774642381214,0.0,0.0,0.0
CO2 Cap,CO2 Storage 2050,0.03944970785177083,0.03944970785177083,0.014315475310866204,0.0,0.0,0.028565648664701782
Buildings demand,CO2 Storage 2050,0.034930702912954324,0.034930702912954324,0.009710041042250372,0.0,0.0,0.02289393355081737
Steel Production,CO2 Storage 2050,0.07209111104628535,0.07209111104628535,0.010934165585806213,0.0,0.0,0.06953323828747567
Chemical Production,CO2 Storage 2050,0.02157214397209032,0.02157214397209032,0.011223763807044766,0.0,0.0,0.0061278663146844764
Passenger Cars,CO2 Storage 2050,0.04011514386350286,0.04011514386350286,0.011764080131579329,0.0,0.0,0.02940082444701725
