Parameter,Outcome,delta_raw_400,delta_400,delta_conf_400,S1_400,S1_conf_400,delta_400_norm
CO2 Cap,Biomass Imports 2050,0.0990462793506906,0.0990462793506906,0.023935919521670415,0.0,0.0,0.2748902483540665
Buildings demand,Biomass Imports 2050,0.08522965179102648,0.08522965179102648,0.025167695945313363,0.0,0.0,0.22286952186764922
Steel Production,Biomass Imports 2050,0.03406255926975246,0.03406255926975246,0.023941533443700588,0.0,0.0,0.03022125703889757
Chemical Production,Biomass Imports 2050,0.07727924099770897,0.07727924099770897,0.027004450608102363,0.0,0.0,0.19293557861356297
Passenger Cars,Biomass Imports 2050,0.05709685384664235,0.05709685384664235,0.026981194191485976,0.0,0.0,0.11694724953001186
Bunker aviation,Biomass Imports 2050,0.10589901646399578,0.10589901646399578,0.027015660554122606,0.0,0.0,0.30069136092767884
Bunker navigation,Biomass Imports 2050,0.08233231984855001,0.08233231984855001,0.027325927123139495,0.0,0.0,0.21196083146045172
Agriculture neGHG CH4,Biomass Imports 2050,0.04956789181166028,0.04956789181166028,0.02596177258649243,0.0,0.0,0.08860009512803399
Agriculture neGHG N2O,Biomass Imports 2050,0.04035321392081915,0.04035321392081915,0.025789674669580032,0.0,0.0,0.05390608342728463
Wind offshore Costs,Biomass Imports 2050,0.09324397136419359,0.09324397136419359,0.028829427488075193,0.0,0.0,0.25304408687565333
Wind offshore Potential,Biomass Imports 2050,0.027567760867531974,0.027567760867531974,0.025775203817461432,0.0,0.0,0.00576781282413976
Solar PV Costs,Biomass Imports 2050,0.10022760381840078,0.10022760381840078,0.022539166831643285,0.0,0.0,0.27933803105365
Solar PV Potential,Biomass Imports 2050,0.07588829869164301,0.07588829869164301,0.023539218043868635,0.0,0.0,0.18769856770407858
Nuclear Costs,Biomass Imports 2050,0.06502993750539561,0.06502993750539561,0.021477623704726605,0.0,0.0,0.14681595471322534
Nuclear Potential,Biomass Imports 2050,0.08641502679977303,0.08641502679977303,0.024875741251653136,0.0,0.0,0.2273325551836705
Hydrogen Import Potential,Biomass Imports 2050,0.07831984457783911,0.07831984457783911,0.024359442710202205,0.0,0.0,0.19685353572639497
Hydrogen Import Price,Biomass Imports 2050,0.11931454201235697,0.11931454201235697,0.029486869663358437,0.0,0.0,0.3512019057193926
Biomass Import Potential,Biomass Imports 2050,0.2916343505878019,0.2916343505878019,0.03538241187637605,0.0,0.0,1.0
Biomass Import Price,Biomass Imports 2050,0.2626659401076827,0.2626659401076827,0.040813931894608524,0.0,0.0,0.8909315785038662
Ammonia Import Potential,Biomass Imports 2050,0.0680638975869555,0.0680638975869555,0.024103059216818358,0.0,0.0,0.15823906117621606
Ammonia Import Price,Biomass Imports 2050,0.06360078760852475,0.06360078760852475,0.027960177060487347,0.0,0.0,0.14143508911688746
CCS potential,Biomass Imports 2050,0.07216868582785615,0.07216868582785615,0.02509787872685344,0.0,0.0,0.17369392275097112
Flexibility Costs,Biomass Imports 2050,0.026035838362647286,0.026035838362647286,0.02301667155160594,0.0,0.0,0.0
LNG Price,Biomass Imports 2050,0.06764983584499017,0.06764983584499017,0.024489731591333646,0.0,0.0,0.1566800850415368
Electricity Trade Price,Biomass Imports 2050,0.05650951446086053,0.05650951446086053,0.024068146126713093,0.0,0.0,0.11473586897346748
Weather Conditions,Biomass Imports 2050,0.057066398966442416,0.057066398966442416,0.020624914980912665,0.0,0.0,0.11683258442912411
Electricity Trade Ratio,Biomass Imports 2050,0.10492335872544391,0.10492335872544391,0.021304327013483126,0.0,0.0,0.29701793019051875
Electricity Trade Volume,Biomass Imports 2050,0.08179999140120485,0.08179999140120485,0.026578174564201463,0.0,0.0,0.2099565715612325
WACC,Biomass Imports 2050,0.055534271209257316,0.055534271209257316,0.023278868413734666,0.0,0.0,0.11106399881337986
Bunker Emission Reduction,Biomass Imports 2050,0.06980341810698143,0.06980341810698143,0.025181049998994398,0.0,0.0,0.16478849741157905
End-of-Life Emission Reduction,Biomass Imports 2050,0.08043057269181339,0.08043057269181339,0.026845043971891365,0.0,0.0,0.2048005987437697
CO2 Cap,BioFuel Imports 2050,0.05641785244107377,0.05641785244107377,0.01799530735111985,0.0,0.0,0.050082607032026986
Buildings demand,BioFuel Imports 2050,0.06119594902897818,0.06119594902897818,0.014778917268448363,0.0,0.0,0.0615580073710021
Steel Production,BioFuel Imports 2050,0.0695940976002911,0.0695940976002911,0.01331375531996874,0.0,0.0,0.08172756970382947
Chemical Production,BioFuel Imports 2050,0.451941923066804,0.451941923066804,0.026047677503057597,0.0,0.0,1.0
Passenger Cars,BioFuel Imports 2050,0.08704421773311624,0.08704421773311624,0.016272126247156214,0.0,0.0,0.12363695993974412
Bunker aviation,BioFuel Imports 2050,0.08757386470958874,0.08757386470958874,0.019521240844219866,0.0,0.0,0.12490899598621828
Bunker navigation,BioFuel Imports 2050,0.06912148330156685,0.06912148330156685,0.014958676656926951,0.0,0.0,0.08059250719849753
Agriculture neGHG CH4,BioFuel Imports 2050,0.04138948271516827,0.04138948271516827,0.01727707629992088,0.0,0.0,0.01398945657469479
Agriculture neGHG N2O,BioFuel Imports 2050,0.055185909668166715,0.055185909668166715,0.016357643090335525,0.0,0.0,0.047123889841252105
Wind offshore Costs,BioFuel Imports 2050,0.047500707150320245,0.047500707150320245,0.01262369425379231,0.0,0.0,0.028666587031250353
