Method,Parameter,Outcome,delta_raw_4000,delta_4000,delta_conf_4000,S1_4000,S1_conf_4000,delta_4000_norm
Delta_4000,CO2 Cap,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Buildings demand,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Steel Production,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Chemical Production,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Passenger Cars,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Bunker aviation,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Bunker navigation,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Agriculture neGHG CH4,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Agriculture neGHG N2O,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Wind offshore Costs,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Wind offshore Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Solar PV Costs,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Solar PV Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Nuclear Costs,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Nuclear Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Hydrogen Import Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Hydrogen Import Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Biomass Import Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Biomass Import Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Ammonia Import Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Ammonia Import Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,CCS potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Flexibility Costs,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,LNG Import Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Electricity Trade Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Weather Conditions,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Electricity Trade Ratio,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Biomass Import Price,BioFuel Imports 2050,0.09926661472516965,0.09926661472516965,0.006329538985154333,0.0,0.0,0.08208858450947777
Delta_4000,Ammonia Import Potential,BioFuel Imports 2050,0.07368956377341564,0.07368956377341564,0.0048446217066075055,0.0,0.0,0.0
Delta_4000,Ammonia Import Price,BioFuel Imports 2050,0.0843583822121083,0.0843583822121083,0.0047711280152147525,0.0,0.0,0.034241172122341096
Delta_4000,CCS potential,BioFuel Imports 2050,0.07846078880800328,0.07846078880800328,0.005417765660324976,0.0,0.0,0.015313067569997719
Delta_4000,Flexibility Costs,BioFuel Imports 2050,0.08719968754407714,0.08719968754407714,0.005171030923653397,0.0,0.0,0.04336023488295851
Delta_4000,LNG Import Price,BioFuel Imports 2050,0.08175606060408308,0.08175606060408308,0.004545265196175827,0.0,0.0,0.025889118648929666
Delta_4000,Electricity Trade Price,BioFuel Imports 2050,0.08380898995694386,0.08380898995694386,0.00500364491115943,0.0,0.0,0.032477918311259096
Delta_4000,Weather Conditions,BioFuel Imports 2050,0.0793718046462527,0.0793718046462527,0.004074511442059349,0.0,0.0,0.018236938690584487
Delta_4000,Electricity Trade Ratio,BioFuel Imports 2050,0.08183401585520383,0.08183401585520383,0.005272245437410298,0.0,0.0,0.026139313099871428
Delta_4000,Electricity Trade Volume,BioFuel Imports 2050,0.07561423202207497,0.07561423202207497,0.004746364309919864,0.0,0.0,0.006177150465110423
Delta_4000,WACC,BioFuel Imports 2050,0.08111624582451947,0.08111624582451947,0.004668580143955219,0.0,0.0,0.023835657141514616
Delta_4000,Bunker Emission Reduction,BioFuel Imports 2050,0.09402384077945726,0.09402384077945726,0.006750726318028738,0.0,0.0,0.0652620984177657
Delta_4000,End-of-Life Emission Reduction,BioFuel Imports 2050,0.08784863892783683,0.08784863892783683,0.004328474719548041,0.0,0.0,0.04544301997842497
Delta_4000,CO2 Cap,Electricity capacity_Carrier_share 2050 Wind onshore,0.144736333489419,0.144736333489419,0.004570735791238181,0.0,0.0,0.07385110163303671
Delta_4000,Buildings demand,Electricity capacity_Carrier_share 2050 Wind onshore,0.14530448896495993,0.14530448896495993,0.005806173983684644,0.0,0.0,0.07767855335048357
Delta_4000,Steel Production,Electricity capacity_Carrier_share 2050 Wind onshore,0.1371311005073807,0.1371311005073807,0.004504935957654133,0.0,0.0,0.02261748109814275
Delta_4000,Chemical Production,Electricity capacity_Carrier_share 2050 Wind onshore,0.14949189562292098,0.14949189562292098,0.005371651352710079,0.0,0.0,0.10588755158182593
Delta_4000,Passenger Cars,Electricity capacity_Carrier_share 2050 Wind onshore,0.13377371113254488,0.13377371113254488,0.003718161439642276,0.0,0.0,0.0
Delta_4000,Bunker aviation,Electricity capacity_Carrier_share 2050 Wind onshore,0.13632076847040298,0.13632076847040298,0.003997478643867391,0.0,0.0,0.017158576132596588
Delta_4000,Bunker navigation,Electricity capacity_Carrier_share 2050 Wind onshore,0.14175375474251584,0.14175375474251584,0.005473977808326128,0.0,0.0,0.053758580063326476
Delta_4000,Agriculture neGHG CH4,Electricity capacity_Carrier_share 2050 Wind onshore,0.14547737029700916,0.14547737029700916,0.004375303843611171,0.0,0.0,0.07884319046083856
Delta_4000,Agriculture neGHG N2O,Electricity capacity_Carrier_share 2050 Wind onshore,0.13459926863399707,0.13459926863399707,0.004360068089536649,0.0,0.0,0.005561473245991302
Delta_4000,Wind offshore Costs,Electricity capacity_Carrier_share 2050 Wind onshore,0.1437916586807898,0.1437916586807898,0.004445424576457978,0.0,0.0,0.06748717947726729
