Method,Parameter,Outcome,delta_raw_4000,delta_4000,delta_conf_4000,S1_4000,S1_conf_4000,delta_4000_norm
Delta_4000,CO2 Cap,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Buildings demand,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Steel Production,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Chemical Production,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Passenger Cars,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Bunker aviation,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Bunker navigation,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Agriculture neGHG CH4,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Agriculture neGHG N2O,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Wind offshore Costs,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Wind offshore Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Solar PV Costs,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Solar PV Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Nuclear Costs,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Nuclear Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Hydrogen Import Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Hydrogen Import Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Biomass Import Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Biomass Import Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Ammonia Import Potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Ammonia Import Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,CCS potential,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Flexibility Costs,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,LNG Import Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Electricity Trade Price,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Weather Conditions,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Electricity Trade Ratio,Electricity capacity_Carrier_share 2050 Coal,,,,,,
Delta_4000,Biomass Import Potential,comPrices 2050 Light-Duty Vehicles,0.07001936174105863,0.07001936174105863,0.00922693164620565,0.0,0.0,0.13330524733652213
Delta_4000,Biomass Import Price,comPrices 2050 Light-Duty Vehicles,0.07811589867606326,0.07811589867606326,0.009630307623167559,0.0,0.0,0.19888688152137957
Delta_4000,Ammonia Import Potential,comPrices 2050 Light-Duty Vehicles,0.07640934620059897,0.07640934620059897,0.009681864973688814,0.0,0.0,0.1850638728620486
Delta_4000,Ammonia Import Price,comPrices 2050 Light-Duty Vehicles,0.07505608499750502,0.07505608499750502,0.008512622708759295,0.0,0.0,0.17410250976442976
Delta_4000,CCS potential,comPrices 2050 Light-Duty Vehicles,0.06544358308751015,0.06544358308751015,0.008933119876632402,0.0,0.0,0.09624161825944136
Delta_4000,Flexibility Costs,comPrices 2050 Light-Duty Vehicles,0.08724085605464012,0.08724085605464012,0.008980884989204822,0.0,0.0,0.2727986812893752
Delta_4000,LNG Import Price,comPrices 2050 Light-Duty Vehicles,0.07537136764418606,0.07537136764418606,0.009307086670502977,0.0,0.0,0.1766562869367509
Delta_4000,Electricity Trade Price,comPrices 2050 Light-Duty Vehicles,0.08661329542507518,0.08661329542507518,0.0095226721757212,0.0,0.0,0.26771546460459594
Delta_4000,Weather Conditions,comPrices 2050 Light-Duty Vehicles,0.17701922783977203,0.17701922783977203,0.02117687370207561,0.0,0.0,1.0
Delta_4000,Electricity Trade Ratio,comPrices 2050 Light-Duty Vehicles,0.08183156335808091,0.08183156335808091,0.009110251011590584,0.0,0.0,0.2289836208910415
Delta_4000,Electricity Trade Volume,comPrices 2050 Light-Duty Vehicles,0.07043156472539856,0.07043156472539856,0.009606530593874472,0.0,0.0,0.1366440754732794
Delta_4000,WACC,comPrices 2050 Light-Duty Vehicles,0.10244833263107851,0.10244833263107851,0.011964109469924815,0.0,0.0,0.39597864992496573
Delta_4000,Bunker Emission Reduction,comPrices 2050 Light-Duty Vehicles,0.07210823901294731,0.07210823901294731,0.00939332816469096,0.0,0.0,0.15022507197287924
Delta_4000,End-of-Life Emission Reduction,comPrices 2050 Light-Duty Vehicles,0.07537394770243094,0.07537394770243094,0.010718696046543694,0.0,0.0,0.17667718530815954
Delta_4000,CO2 Cap,comPrices 2050 Machinery - Agriculture,0.28667112139098205,0.28667112139098205,0.09121216952401746,0.0,0.0,0.8300415018971985
Delta_4000,Buildings demand,comPrices 2050 Machinery - Agriculture,0.1940898657294564,0.1940898657294564,0.09205930412368576,0.0,0.0,0.5448844820251639
Delta_4000,Steel Production,comPrices 2050 Machinery - Agriculture,0.03584808196731143,0.03584808196731143,0.07355822941959289,0.0,0.0,0.057488246637956694
Delta_4000,Chemical Production,comPrices 2050 Machinery - Agriculture,0.22000806695598782,0.22000806695598782,0.06711216858411359,0.0,0.0,0.6247144321526692
Delta_4000,Passenger Cars,comPrices 2050 Machinery - Agriculture,0.08443914930986805,0.08443914930986805,0.07912532217179352,0.0,0.0,0.20715227805336786
Delta_4000,Bunker aviation,comPrices 2050 Machinery - Agriculture,0.10056458334595984,0.10056458334595984,0.08268593483239717,0.0,0.0,0.2568197909966594
Delta_4000,Bunker navigation,comPrices 2050 Machinery - Agriculture,0.23524316084770316,0.23524316084770316,0.08660903097853569,0.0,0.0,0.6716396325141243
Delta_4000,Agriculture neGHG CH4,comPrices 2050 Machinery - Agriculture,0.041154400368275626,0.041154400368275626,0.07171125418026993,0.0,0.0,0.07383209433044277
Delta_4000,Agriculture neGHG N2O,comPrices 2050 Machinery - Agriculture,0.022157953273386096,0.022157953273386096,0.07688595038520717,0.0,0.0,0.015321651768076256
Delta_4000,Wind offshore Costs,comPrices 2050 Machinery - Agriculture,0.32398116488784395,0.32398116488784395,0.07785712881624268,0.0,0.0,0.944959157083879
Delta_4000,Wind offshore Potential,comPrices 2050 Machinery - Agriculture,0.03289000944676999,0.03289000944676999,0.08677990523875301,0.0,0.0,0.04837716752700985
Delta_4000,Solar PV Costs,comPrices 2050 Machinery - Agriculture,0.21811164768610844,0.21811164768610844,0.0790106566837542,0.0,0.0,0.6188733224856782
Delta_4000,Solar PV Potential,comPrices 2050 Machinery - Agriculture,0.14151859211192935,0.14151859211192935,0.0808509585273578,0.0,0.0,0.38296112498561125
Delta_4000,Nuclear Costs,comPrices 2050 Machinery - Agriculture,0.10674146972806758,0.10674146972806758,0.07686433469843708,0.0,0.0,0.27584505156613753
Delta_4000,Nuclear Potential,comPrices 2050 Machinery - Agriculture,0.0985487991964732,0.0985487991964732,0.07846145540384569,0.0,0.0,0.2506110287945739
Delta_4000,Hydrogen Import Potential,comPrices 2050 Machinery - Agriculture,0.21960176436024428,0.21960176436024428,0.07258382759452812,0.0,0.0,0.6234629905240087
Delta_4000,Hydrogen Import Price,comPrices 2050 Machinery - Agriculture,0.28793290498970586,0.28793290498970586,0.07526052077457784,0.0,0.0,0.8339278874097361
Delta_4000,Biomass Import Potential,comPrices 2050 Machinery - Agriculture,0.15694841597842035,0.15694841597842035,0.08165703539393618,0.0,0.0,0.43048610787204944
Delta_4000,Biomass Import Price,comPrices 2050 Machinery - Agriculture,0.06815515085123973,0.06815515085123973,0.08625935750838824,0.0,0.0,0.15699637512373227
Delta_4000,Ammonia Import Potential,comPrices 2050 Machinery - Agriculture,0.08800178134942489,0.08800178134942489,0.08706263777265678,0.0,0.0,0.21812544457656552
Delta_4000,Ammonia Import Price,comPrices 2050 Machinery - Agriculture,0.3140258001238411,0.3140258001238411,0.054674756195440675,0.0,0.0,0.9142959075140004
Delta_4000,CCS potential,comPrices 2050 Machinery - Agriculture,0.3418511452661282,0.3418511452661282,0.06739459646281203,0.0,0.0,1.0
Delta_4000,Flexibility Costs,comPrices 2050 Machinery - Agriculture,0.04368857181248421,0.04368857181248421,0.0844518008509525,0.0,0.0,0.08163752720896483
Delta_4000,LNG Import Price,comPrices 2050 Machinery - Agriculture,0.1545313005089759,0.1545313005089759,0.08873555599469522,0.0,0.0,0.4230412159333045
Delta_4000,Electricity Trade Price,comPrices 2050 Machinery - Agriculture,0.11725856388153283,0.11725856388153283,0.0914694349071413,0.0,0.0,0.3082384686254188
Delta_4000,Weather Conditions,comPrices 2050 Machinery - Agriculture,0.1264906539713678,0.1264906539713678,0.08110317458110755,0.0,0.0,0.33667397944666083
Delta_4000,Electricity Trade Ratio,comPrices 2050 Machinery - Agriculture,0.07105219905348871,0.07105219905348871,0.09437637585998968,0.0,0.0,0.16591949488351607
Delta_4000,Electricity Trade Volume,comPrices 2050 Machinery - Agriculture,0.13868535593179357,0.13868535593179357,0.08062143582974969,0.0,0.0,0.37423455090808017
Delta_4000,WACC,comPrices 2050 Machinery - Agriculture,0.01718350880719799,0.01718350880719799,0.08617314417063124,0.0,0.0,0.0
Delta_4000,Bunker Emission Reduction,comPrices 2050 Machinery - Agriculture,0.1065094554459756,0.1065094554459756,0.0946817982906619,0.0,0.0,0.2751304306552808
Delta_4000,End-of-Life Emission Reduction,comPrices 2050 Machinery - Agriculture,0.24301255835661817,0.24301255835661817,0.08181799655593558,0.0,0.0,0.695569943504323
Delta_4000,CO2 Cap,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,Buildings demand,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,Steel Production,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,Chemical Production,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,Passenger Cars,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,Bunker aviation,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,Bunker navigation,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,Agriculture neGHG CH4,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,Agriculture neGHG N2O,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,Wind offshore Costs,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,Wind offshore Potential,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,Solar PV Costs,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,Solar PV Potential,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,Nuclear Costs,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,Nuclear Potential,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,Hydrogen Import Potential,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,Hydrogen Import Price,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,Biomass Import Potential,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,Biomass Import Price,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,Ammonia Import Potential,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,Ammonia Import Price,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,CCS potential,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,Flexibility Costs,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,LNG Import Price,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,Electricity Trade Price,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,Weather Conditions,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,Electricity Trade Ratio,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,Electricity Trade Volume,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,WACC,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,Bunker Emission Reduction,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,End-of-Life Emission Reduction,comPrices 2050 Plastic pyrolysis oil,,,,,,
Delta_4000,CO2 Cap,comPrices 2050 Naphtha,0.11033903237772519,0.11033903237772519,0.003400779450822536,0.0,0.0,0.10886017627025242
Delta_4000,Buildings demand,comPrices 2050 Naphtha,0.10549883245813443,0.10549883245813443,0.004003726711425364,0.0,0.0,0.047654853153464224
Delta_4000,Steel Production,comPrices 2050 Naphtha,0.10577136204341649,0.10577136204341649,0.0041176749608510576,0.0,0.0,0.05110104579078873
Delta_4000,Chemical Production,comPrices 2050 Naphtha,0.1786607755451406,0.1786607755451406,0.012934980415724473,0.0,0.0,0.9728026654097176
Delta_4000,Passenger Cars,comPrices 2050 Naphtha,0.10545049929464166,0.10545049929464166,0.0035253357975734024,0.0,0.0,0.04704367036391494
Delta_4000,Bunker aviation,comPrices 2050 Naphtha,0.10173022207172445,0.10173022207172445,0.003956224649567314,0.0,0.0,0.0
Delta_4000,Bunker navigation,comPrices 2050 Naphtha,0.11377612500279988,0.11377612500279988,0.004239385705361208,0.0,0.0,0.1523229191723706
Delta_4000,Agriculture neGHG CH4,comPrices 2050 Naphtha,0.110844342714889,0.110844342714889,0.004074099121765356,0.0,0.0,0.11524992937428925
Delta_4000,Agriculture neGHG N2O,comPrices 2050 Naphtha,0.10490836132929428,0.10490836132929428,0.00406964208097946,0.0,0.0,0.04018822432982421
Delta_4000,Wind offshore Costs,comPrices 2050 Naphtha,0.10432345505136582,0.10432345505136582,0.004164086433184849,0.0,0.0,0.03279196419008274
Delta_4000,Wind offshore Potential,comPrices 2050 Naphtha,0.10785043460322288,0.10785043460322288,0.004124146644746419,0.0,0.0,0.07739134576190183
Delta_4000,Solar PV Costs,comPrices 2050 Naphtha,0.10303568172685891,0.10303568172685891,0.0041766423396900265,0.0,0.0,0.01650780573856771
Delta_4000,Solar PV Potential,comPrices 2050 Naphtha,0.10781339720275464,0.10781339720275464,0.004365273108142252,0.0,0.0,0.07692300021817965
Delta_4000,Nuclear Costs,comPrices 2050 Naphtha,0.11279226592794837,0.11279226592794837,0.00381865162132655,0.0,0.0,0.13988181889179335
Delta_4000,Nuclear Potential,comPrices 2050 Naphtha,0.10399530401747153,0.10399530401747153,0.004471814917045995,0.0,0.0,0.028642426899419295
Delta_4000,Hydrogen Import Potential,comPrices 2050 Naphtha,0.10720020928052715,0.10720020928052715,0.003727055841578216,0.0,0.0,0.06916911287163822
Delta_4000,Hydrogen Import Price,comPrices 2050 Naphtha,0.10912638379640391,0.10912638379640391,0.004268283289958325,0.0,0.0,0.09352598564178781
Delta_4000,Biomass Import Potential,comPrices 2050 Naphtha,0.1115859451876013,0.1115859451876013,0.004700889862066123,0.0,0.0,0.1246276451134366
Delta_4000,Biomass Import Price,comPrices 2050 Naphtha,0.1533836963977408,0.1533836963977408,0.010480823778725265,0.0,0.0,0.653168802683642
Delta_4000,Ammonia Import Potential,comPrices 2050 Naphtha,0.11338317440463715,0.11338317440463715,0.004748466289200022,0.0,0.0,0.1473539780688968
Delta_4000,Ammonia Import Price,comPrices 2050 Naphtha,0.12370077305404177,0.12370077305404177,0.004726739201849395,0.0,0.0,0.2778221342643006
Delta_4000,CCS potential,comPrices 2050 Naphtha,0.12211454879038153,0.12211454879038153,0.005273512186630453,0.0,0.0,0.2577640023263902
Delta_4000,Flexibility Costs,comPrices 2050 Naphtha,0.11079705135630828,0.11079705135630828,0.0037889531736354475,0.0,0.0,0.1146519204220456
Delta_4000,LNG Import Price,comPrices 2050 Naphtha,0.1029669229614296,0.1029669229614296,0.0040988174597806,0.0,0.0,0.01563833701307591
Delta_4000,Electricity Trade Price,comPrices 2050 Naphtha,0.10557150684942058,0.10557150684942058,0.0042056147773365336,0.0,0.0,0.04857383577295918
Delta_4000,Weather Conditions,comPrices 2050 Naphtha,0.10646371797546245,0.10646371797546245,0.0037650684692478505,0.0,0.0,0.05985602889823875
Delta_4000,Electricity Trade Ratio,comPrices 2050 Naphtha,0.11590323316635857,0.11590323316635857,0.003852692828384759,0.0,0.0,0.17922063922893713
Delta_4000,Electricity Trade Volume,comPrices 2050 Naphtha,0.10426441367553986,0.10426441367553986,0.004003628097984383,0.0,0.0,0.03204537385399734
Delta_4000,WACC,comPrices 2050 Naphtha,0.11317341348335327,0.11317341348335327,0.0039146294179829115,0.0,0.0,0.14470150809291693
Delta_4000,Bunker Emission Reduction,comPrices 2050 Naphtha,0.18081157763217115,0.18081157763217115,0.012607373522645753,0.0,0.0,1.0
Delta_4000,End-of-Life Emission Reduction,comPrices 2050 Naphtha,0.11057904771967228,0.11057904771967228,0.004442786908646974,0.0,0.0,0.11189521961575544
Delta_4000,CO2 Cap,comPrices 2050 Machinery - Industry,0.13847407348403343,0.13847407348403343,0.039852172668677,0.0,0.0,0.5506433210507555
Delta_4000,Buildings demand,comPrices 2050 Machinery - Industry,0.04358799903929209,0.04358799903929209,0.03641080505189211,0.0,0.0,0.09953120456467689
Delta_4000,Steel Production,comPrices 2050 Machinery - Industry,0.11164888148415938,0.11164888148415938,0.036194792796859845,0.0,0.0,0.4231096528173211
Delta_4000,Chemical Production,comPrices 2050 Machinery - Industry,0.14755844235189527,0.14755844235189527,0.04160080120620459,0.0,0.0,0.5938326814590417
Delta_4000,Passenger Cars,comPrices 2050 Machinery - Industry,0.04526849025888005,0.04526849025888005,0.039786857173300376,0.0,0.0,0.10752067989328355
Delta_4000,Bunker aviation,comPrices 2050 Machinery - Industry,0.06660910686752565,0.06660910686752565,0.03607510615077026,0.0,0.0,0.20897930574307086
Delta_4000,Bunker navigation,comPrices 2050 Machinery - Industry,0.10809684580188977,0.10809684580188977,0.03857462712290944,0.0,0.0,0.406222387285055
Delta_4000,Agriculture neGHG CH4,comPrices 2050 Machinery - Industry,0.06482408264800958,0.06482408264800958,0.040557261871885186,0.0,0.0,0.20049285440279802
Delta_4000,Agriculture neGHG N2O,comPrices 2050 Machinery - Industry,0.17400117053497244,0.17400117053497244,0.03759513191704261,0.0,0.0,0.7195480211033314
Delta_4000,Wind offshore Costs,comPrices 2050 Machinery - Industry,0.11351687273327425,0.11351687273327425,0.03780699607837015,0.0,0.0,0.43199055015549087
Delta_4000,Wind offshore Potential,comPrices 2050 Machinery - Industry,0.13671376282591613,0.13671376282591613,0.044380128060560284,0.0,0.0,0.5422743641589963
Delta_4000,Solar PV Costs,comPrices 2050 Machinery - Industry,0.04290745194325039,0.04290745194325039,0.04431759681148429,0.0,0.0,0.09629571355442736
Delta_4000,Solar PV Potential,comPrices 2050 Machinery - Industry,0.09841785074051605,0.09841785074051605,0.04224328091207715,0.0,0.0,0.360206025314707
Delta_4000,Nuclear Costs,comPrices 2050 Machinery - Industry,0.07238591095590496,0.07238591095590496,0.031211514133395315,0.0,0.0,0.2364436764010842
Delta_4000,Nuclear Potential,comPrices 2050 Machinery - Industry,0.024968936345702245,0.024968936345702245,0.04564234011999235,0.0,0.0,0.011011526331136057
Delta_4000,Hydrogen Import Potential,comPrices 2050 Machinery - Industry,0.02265279260000738,0.02265279260000738,0.043894643842833286,0.0,0.0,0.0
Delta_4000,Hydrogen Import Price,comPrices 2050 Machinery - Industry,0.1311161648963533,0.1311161648963533,0.03342438577054166,0.0,0.0,0.5156619843759783
Delta_4000,Biomass Import Potential,comPrices 2050 Machinery - Industry,0.23299091249767925,0.23299091249767925,0.04758310274046663,0.0,0.0,1.0
Delta_4000,Biomass Import Price,comPrices 2050 Machinery - Industry,0.16079283846424172,0.16079283846424172,0.03622623849613048,0.0,0.0,0.6567523087657081
Delta_4000,Ammonia Import Potential,comPrices 2050 Machinery - Industry,0.08917098067520193,0.08917098067520193,0.03759083466527045,0.0,0.0,0.3162440935934733
Delta_4000,Ammonia Import Price,comPrices 2050 Machinery - Industry,0.22822253533980863,0.22822253533980863,0.02501803910741888,0.0,0.0,0.9773299430450818
Delta_4000,CCS potential,comPrices 2050 Machinery - Industry,0.13447085036934944,0.13447085036934944,0.033262297871915265,0.0,0.0,0.5316109976819267
Delta_4000,Flexibility Costs,comPrices 2050 Machinery - Industry,0.16861932647885924,0.16861932647885924,0.04834263561485038,0.0,0.0,0.6939613891664699
Delta_4000,LNG Import Price,comPrices 2050 Machinery - Industry,0.06808033627515454,0.06808033627515454,0.046502868629566194,0.0,0.0,0.21597389810866127
Delta_4000,Electricity Trade Price,comPrices 2050 Machinery - Industry,0.05813541814233648,0.05813541814233648,0.039435225675601655,0.0,0.0,0.16869327138414647
Delta_4000,Weather Conditions,comPrices 2050 Machinery - Industry,0.07950762695577396,0.07950762695577396,0.035777517035474604,0.0,0.0,0.2703020944725858
Delta_4000,Electricity Trade Ratio,comPrices 2050 Machinery - Industry,0.09318498285875773,0.09318498285875773,0.041395582346501716,0.0,0.0,0.3353276633501517
Delta_4000,Electricity Trade Volume,comPrices 2050 Machinery - Industry,0.10970586592472532,0.10970586592472532,0.0413574338092068,0.0,0.0,0.41387207115414315
Delta_4000,WACC,comPrices 2050 Machinery - Industry,0.15986659188049443,0.15986659188049443,0.03655430630025948,0.0,0.0,0.6523487009736546
Delta_4000,Bunker Emission Reduction,comPrices 2050 Machinery - Industry,0.11327768600595724,0.11327768600595724,0.03874417315190877,0.0,0.0,0.4308533966645622
Delta_4000,End-of-Life Emission Reduction,comPrices 2050 Machinery - Industry,0.07881005491101861,0.07881005491101861,0.044005653898527966,0.0,0.0,0.26698566260044243
Delta_4000,CO2 Cap,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,Buildings demand,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,Steel Production,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,Chemical Production,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,Passenger Cars,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,Bunker aviation,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,Bunker navigation,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,Agriculture neGHG CH4,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,Agriculture neGHG N2O,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,Wind offshore Costs,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,Wind offshore Potential,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,Solar PV Costs,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,Solar PV Potential,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,Nuclear Costs,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,Nuclear Potential,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,Hydrogen Import Potential,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,Hydrogen Import Price,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,Biomass Import Potential,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,Biomass Import Price,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,Ammonia Import Potential,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,Ammonia Import Price,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,CCS potential,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,Flexibility Costs,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,LNG Import Price,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,Electricity Trade Price,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,Weather Conditions,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,Electricity Trade Ratio,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,Electricity Trade Volume,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,WACC,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,Bunker Emission Reduction,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,End-of-Life Emission Reduction,comPrices 2050 Renewable CO2 Credit,,,,,,
Delta_4000,CO2 Cap,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,Buildings demand,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,Steel Production,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,Chemical Production,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,Passenger Cars,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,Bunker aviation,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,Bunker navigation,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,Agriculture neGHG CH4,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,Agriculture neGHG N2O,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,Wind offshore Costs,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,Wind offshore Potential,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,Solar PV Costs,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,Solar PV Potential,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,Nuclear Costs,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,Nuclear Potential,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,Hydrogen Import Potential,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,Hydrogen Import Price,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,Biomass Import Potential,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,Biomass Import Price,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,Ammonia Import Potential,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,Ammonia Import Price,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,CCS potential,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,Flexibility Costs,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,LNG Import Price,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,Electricity Trade Price,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,Weather Conditions,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,Electricity Trade Ratio,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,Electricity Trade Volume,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,WACC,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,Bunker Emission Reduction,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,End-of-Life Emission Reduction,comPrices 2050 Renewable H2 Credit,,,,,,
Delta_4000,CO2 Cap,comPrices 2050 Kerosene,0.1507483455650928,0.1507483455650928,0.020888852122776663,0.0,0.0,0.34813029230133513
Delta_4000,Buildings demand,comPrices 2050 Kerosene,0.10476443746621196,0.10476443746621196,0.015138213637113,0.0,0.0,0.13099408105971846
Delta_4000,Steel Production,comPrices 2050 Kerosene,0.11772419273899637,0.11772419273899637,0.02190645172515412,0.0,0.0,0.1921901010347901
Delta_4000,Chemical Production,comPrices 2050 Kerosene,0.28879771356251405,0.28879771356251405,0.044525498453309616,0.0,0.0,1.0
Delta_4000,Passenger Cars,comPrices 2050 Kerosene,0.16180099501419207,0.16180099501419207,0.03680986996618564,0.0,0.0,0.40032095039847854
Delta_4000,Bunker aviation,comPrices 2050 Kerosene,0.16941472393829696,0.16941472393829696,0.01978696512451425,0.0,0.0,0.43627301102903376
Delta_4000,Bunker navigation,comPrices 2050 Kerosene,0.1297452152395228,0.1297452152395228,0.020365959099155607,0.0,0.0,0.24895342083357114
