Parameter,Outcome,delta_raw_2000,delta_2000,delta_conf_2000,S1_2000,S1_conf_2000,delta_2000_norm
CO2 Cap,BioFuel Production 2050,0.07402274034051698,0.07402274034051698,0.013338638424999499,0.0,0.0,0.25089075281105394
Buildings demand,BioFuel Production 2050,0.06808138595694238,0.06808138595694238,0.01117865637692524,0.0,0.0,0.20080726956162792
Steel Production,BioFuel Production 2050,0.05763853068675612,0.05763853068675612,0.00973722965222682,0.0,0.0,0.11277775082992693
Chemical Production,BioFuel Production 2050,0.09780892614743283,0.09780892614743283,0.012173012886820484,0.0,0.0,0.4513997548867164
Passenger Cars,BioFuel Production 2050,0.07621265812903831,0.07621265812903831,0.010791788908289822,0.0,0.0,0.26935097312416045
Bunker aviation,BioFuel Production 2050,0.08327834706583273,0.08327834706583273,0.013457847405034074,0.0,0.0,0.32891219278308453
Bunker navigation,BioFuel Production 2050,0.08812740842470129,0.08812740842470129,0.013544008575756486,0.0,0.0,0.36978803819869127
Agriculture neGHG CH4,BioFuel Production 2050,0.056957059770981505,0.056957059770981505,0.01208197941099422,0.0,0.0,0.1070331958022845
Agriculture neGHG N2O,BioFuel Production 2050,0.06439204227522292,0.06439204227522292,0.011092321368248566,0.0,0.0,0.16970742758021043
Wind offshore Costs,BioFuel Production 2050,0.05534103531713768,0.05534103531713768,0.011443026665369891,0.0,0.0,0.09341069015129941
Wind offshore Potential,BioFuel Production 2050,0.07673863634324413,0.07673863634324413,0.013249653799817802,0.0,0.0,0.2737847805323782
Solar PV Costs,BioFuel Production 2050,0.061736369147968456,0.061736369147968456,0.010470310783737134,0.0,0.0,0.1473210570663584
Solar PV Potential,BioFuel Production 2050,0.05656527915035975,0.05656527915035975,0.010667749459464942,0.0,0.0,0.1037306259026324
Nuclear Costs,BioFuel Production 2050,0.0729689911322996,0.0729689911322996,0.00966975451290349,0.0,0.0,0.24200802550484354
Nuclear Potential,BioFuel Production 2050,0.0677045638542498,0.0677045638542498,0.011854583047721407,0.0,0.0,0.19763079459484392
Hydrogen Import Potential,BioFuel Production 2050,0.057120293207793445,0.057120293207793445,0.011660446642508185,0.0,0.0,0.10840919503924609
Hydrogen Import Price,BioFuel Production 2050,0.05124102633851523,0.05124102633851523,0.013056496378047814,0.0,0.0,0.058849087232775994
Biomass Import Potential,BioFuel Production 2050,0.1628888339266359,0.1628888339266359,0.014327597839444497,0.0,0.0,1.0
Biomass Import Price,BioFuel Production 2050,0.16154031784112888,0.16154031784112888,0.014509973355551714,0.0,0.0,0.988632493801954
Ammonia Import Potential,BioFuel Production 2050,0.08744200842343405,0.08744200842343405,0.014636954987717537,0.0,0.0,0.3640103623917195
Ammonia Import Price,BioFuel Production 2050,0.11359675936587413,0.11359675936587413,0.015696074239066802,0.0,0.0,0.5844855177435027
CCS potential,BioFuel Production 2050,0.14476750515076037,0.14476750515076037,0.015498682303030082,0.0,0.0,0.8472437078129884
Flexibility Costs,BioFuel Production 2050,0.09080068406164343,0.09080068406164343,0.011641716283861167,0.0,0.0,0.39232279154618266
LNG Price,BioFuel Production 2050,0.06331651968798813,0.06331651968798813,0.011685962257401566,0.0,0.0,0.16064115851013605
Electricity Trade Price,BioFuel Production 2050,0.08607721010341442,0.08607721010341442,0.010894212638393054,0.0,0.0,0.35250560280550153
Weather Conditions,BioFuel Production 2050,0.07455351862478142,0.07455351862478142,0.011999527964546123,0.0,0.0,0.2553650230856245
Electricity Trade Ratio,BioFuel Production 2050,0.08011879300953144,0.08011879300953144,0.009940206017299013,0.0,0.0,0.3022782870373013
Electricity Trade Volume,BioFuel Production 2050,0.07553178307986835,0.07553178307986835,0.011558078768467556,0.0,0.0,0.26361144103795303
WACC,BioFuel Production 2050,0.08106324658982716,0.08106324658982716,0.013744256851631071,0.0,0.0,0.31023969146040237
Bunker Emission Reduction,BioFuel Production 2050,0.12440794873124095,0.12440794873124095,0.010284193558317486,0.0,0.0,0.6756199605876531
End-of-Life Emission Reduction,BioFuel Production 2050,0.04425981697137672,0.04425981697137672,0.011882491021857488,0.0,0.0,0.0
CO2 Cap,CO2 Storage 2050,0.0683178486959953,0.0683178486959953,0.010671881151120131,0.0,0.0,0.049576742995423265
Buildings demand,CO2 Storage 2050,0.053952893079640914,0.053952893079640914,0.010004621173522786,0.0,0.0,0.03136248286351236
Steel Production,CO2 Storage 2050,0.05317707509981482,0.05317707509981482,0.01168763889406742,0.0,0.0,0.030378772862802158
Chemical Production,CO2 Storage 2050,0.04531299617689446,0.04531299617689446,0.009077839142643847,0.0,0.0,0.020407396478118213
Passenger Cars,CO2 Storage 2050,0.029218389943621133,0.029218389943621133,0.009112380360354602,0.0,0.0,0.0
Bunker aviation,CO2 Storage 2050,0.04028653455662263,0.04028653455662263,0.010108759328155211,0.0,0.0,0.014034019355360885
Bunker navigation,CO2 Storage 2050,0.04756772000794467,0.04756772000794467,0.010533134551845572,0.0,0.0,0.023266307252448173
