Parameter,Outcome,delta_raw_2400,delta_2400,delta_conf_2400,S1_2400,S1_conf_2400,delta_2400_norm
CO2 Cap,BioEnergy Imports 2050,0.07038258124136028,0.07038258124136028,0.0109184388083765,0.0,0.0,0.0607375501123918
Buildings demand,BioEnergy Imports 2050,0.0784989953282173,0.0784989953282173,0.011478487821324232,0.0,0.0,0.09301122506707318
Steel Production,BioEnergy Imports 2050,0.06630249901705483,0.06630249901705483,0.009061874270397263,0.0,0.0,0.04451372933557402
Chemical Production,BioEnergy Imports 2050,0.12739156896360046,0.12739156896360046,0.012229355487370848,0.0,0.0,0.28742504037023237
Passenger Cars,BioEnergy Imports 2050,0.061895066419292905,0.061895066419292905,0.008771513132581418,0.0,0.0,0.026988250038605634
Bunker aviation,BioEnergy Imports 2050,0.08580830312522211,0.08580830312522211,0.010241104769738687,0.0,0.0,0.12207556573030319
Bunker navigation,BioEnergy Imports 2050,0.055107868707828536,0.055107868707828536,0.01037601661408351,0.0,0.0,0.0
Agriculture neGHG CH4,BioEnergy Imports 2050,0.062953972281786,0.062953972281786,0.010510609779676446,0.0,0.0,0.03119882668587749
Agriculture neGHG N2O,BioEnergy Imports 2050,0.06947403538273805,0.06947403538273805,0.010591710753662588,0.0,0.0,0.05712485694410247
Wind offshore Costs,BioEnergy Imports 2050,0.06335159436080998,0.06335159436080998,0.009005962382191108,0.0,0.0,0.0327799098583101
Wind offshore Potential,BioEnergy Imports 2050,0.07830200619338598,0.07830200619338598,0.011587241884384968,0.0,0.0,0.09222792800520385
Solar PV Costs,BioEnergy Imports 2050,0.08420619238248804,0.08420619238248804,0.010944920218562871,0.0,0.0,0.11570501824479101
Solar PV Potential,BioEnergy Imports 2050,0.08080018047838963,0.08080018047838963,0.010902814217934698,0.0,0.0,0.10216153464374494
Nuclear Costs,BioEnergy Imports 2050,0.08720655404105465,0.08720655404105465,0.009994803443209656,0.0,0.0,0.1276354959014041
Nuclear Potential,BioEnergy Imports 2050,0.058444844926666774,0.058444844926666774,0.009876256081470015,0.0,0.0,0.013268973793818728
Hydrogen Import Potential,BioEnergy Imports 2050,0.06520929168080854,0.06520929168080854,0.008606706327069745,0.0,0.0,0.04016675814232033
Hydrogen Import Price,BioEnergy Imports 2050,0.0588725169334234,0.0588725169334234,0.009138476179636272,0.0,0.0,0.014969545891985856
Biomass Import Potential,BioEnergy Imports 2050,0.3065950048413514,0.3065950048413514,0.01420948718030393,0.0,0.0,1.0
Biomass Import Price,BioEnergy Imports 2050,0.20179784241581905,0.20179784241581905,0.014879527754350889,0.0,0.0,0.5832901672955072
Ammonia Import Potential,BioEnergy Imports 2050,0.07672991295040649,0.07672991295040649,0.010347973144894617,0.0,0.0,0.08597674050054827
Ammonia Import Price,BioEnergy Imports 2050,0.08755447025698343,0.08755447025698343,0.011988579176468294,0.0,0.0,0.1290189313378157
CCS potential,BioEnergy Imports 2050,0.10890165999077961,0.10890165999077961,0.012220479767040581,0.0,0.0,0.21390275506732148
Flexibility Costs,BioEnergy Imports 2050,0.07793597623872578,0.07793597623872578,0.010288132688919517,0.0,0.0,0.09077246606672178
LNG Price,BioEnergy Imports 2050,0.0746105587303583,0.0746105587303583,0.010688225894564914,0.0,0.0,0.07754945371112396
Electricity Trade Price,BioEnergy Imports 2050,0.06781922898023639,0.06781922898023639,0.010059642327650494,0.0,0.0,0.05054477325495873
Weather Conditions,BioEnergy Imports 2050,0.07845971397915967,0.07845971397915967,0.011213175739688728,0.0,0.0,0.0928550288112266
Electricity Trade Ratio,BioEnergy Imports 2050,0.06731967999842714,0.06731967999842714,0.009953972932497748,0.0,0.0,0.048558393396769796
Electricity Trade Volume,BioEnergy Imports 2050,0.061752169060546314,0.061752169060546314,0.009633932627658208,0.0,0.0,0.026420040622634863
WACC,BioEnergy Imports 2050,0.08767498214509951,0.08767498214509951,0.012209710186208256,0.0,0.0,0.1294981283654207
Bunker Emission Reduction,BioEnergy Imports 2050,0.1092234222176635,0.1092234222176635,0.013718694977013168,0.0,0.0,0.21518219318026358
End-of-Life Emission Reduction,BioEnergy Imports 2050,0.07348339963560417,0.07348339963560417,0.012267012889060895,0.0,0.0,0.07306747856088931
CO2 Cap,BioFuel Imports 2050,0.08685829288599954,0.08685829288599954,0.005760930949426744,0.0,0.0,0.07076390397828408
Buildings demand,BioFuel Imports 2050,0.08159348628026762,0.08159348628026762,0.006412681227231404,0.0,0.0,0.05291015763557526
Steel Production,BioFuel Imports 2050,0.07879439220810484,0.07879439220810484,0.006280298687894621,0.0,0.0,0.04341801114355295
Chemical Production,BioFuel Imports 2050,0.36087631928288433,0.36087631928288433,0.018435214027255505,0.0,0.0,1.0
Passenger Cars,BioFuel Imports 2050,0.07447286986591647,0.07447286986591647,0.005516129497393318,0.0,0.0,0.02876308276920788
Bunker aviation,BioFuel Imports 2050,0.0832565840584239,0.0832565840584239,0.0058455189998185665,0.0,0.0,0.058549970851505706
Bunker navigation,BioFuel Imports 2050,0.0752434255706677,0.0752434255706677,0.0070552910852125835,0.0,0.0,0.0313761523700129
Agriculture neGHG CH4,BioFuel Imports 2050,0.08220704438842247,0.08220704438842247,0.0056362785768177374,0.0,0.0,0.05499082491356847
Agriculture neGHG N2O,BioFuel Imports 2050,0.07031877236139263,0.07031877236139263,0.005863987415200182,0.0,0.0,0.014675917051116356
Wind offshore Costs,BioFuel Imports 2050,0.07508365482244139,0.07508365482244139,0.006343134244977533,0.0,0.0,0.030834345875409352
Wind offshore Potential,BioFuel Imports 2050,0.0805907566583111,0.0805907566583111,0.006307704409131626,0.0,0.0,0.049509751569141364
Solar PV Costs,BioFuel Imports 2050,0.07110269846010882,0.07110269846010882,0.006531589570987559,0.0,0.0,0.01733432765686784
Solar PV Potential,BioFuel Imports 2050,0.07997726096919126,0.07997726096919126,0.0060456800700346685,0.0,0.0,0.04742929596342816
Nuclear Costs,BioFuel Imports 2050,0.08497765812178876,0.08497765812178876,0.00611400661491394,0.0,0.0,0.06438639031862867
Nuclear Potential,BioFuel Imports 2050,0.07856289708515696,0.07856289708515696,0.006237069400940365,0.0,0.0,0.04263297657073768
Hydrogen Import Potential,BioFuel Imports 2050,0.06599106076782867,0.06599106076782867,0.006286223220749227,0.0,0.0,0.0
Hydrogen Import Price,BioFuel Imports 2050,0.09210048442847767,0.09210048442847767,0.006762451588843651,0.0,0.0,0.08854095926031501
Biomass Import Potential,BioFuel Imports 2050,0.07945186370547198,0.07945186370547198,0.006204687035000196,0.0,0.0,0.04564759528986785
Biomass Import Price,BioFuel Imports 2050,0.09914249977034352,0.09914249977034352,0.007563281412525014,0.0,0.0,0.11242148613821697
Ammonia Import Potential,BioFuel Imports 2050,0.07683840794479663,0.07683840794479663,0.0059896686435290435,0.0,0.0,0.036784976066933976
Ammonia Import Price,BioFuel Imports 2050,0.08394184765269432,0.08394184765269432,0.006136837136803226,0.0,0.0,0.06087380215362361
CCS potential,BioFuel Imports 2050,0.08174648100800459,0.08174648100800459,0.0059462815826515645,0.0,0.0,0.05342898563161481
Flexibility Costs,BioFuel Imports 2050,0.07534669663515677,0.07534669663515677,0.0055704747848727915,0.0,0.0,0.03172635998978036
LNG Price,BioFuel Imports 2050,0.08137657475099556,0.08137657475099556,0.005651385571376807,0.0,0.0,0.052174578209311796
Electricity Trade Price,BioFuel Imports 2050,0.08138957240090793,0.08138957240090793,0.0063610945680444425,0.0,0.0,0.052218655183446795
Weather Conditions,BioFuel Imports 2050,0.07428942247234584,0.07428942247234584,0.006000745735592401,0.0,0.0,0.02814098523033999
Electricity Trade Ratio,BioFuel Imports 2050,0.08560164942691825,0.08560164942691825,0.006566731223975868,0.0,0.0,0.06650243812743305
Electricity Trade Volume,BioFuel Imports 2050,0.08327064049501391,0.08327064049501391,0.0058921175372522155,0.0,0.0,0.058597638329564106
WACC,BioFuel Imports 2050,0.08232131041615563,0.08232131041615563,0.0060012663591551135,0.0,0.0,0.05537831809755661
Bunker Emission Reduction,BioFuel Imports 2050,0.08857523631825895,0.08857523631825895,0.006643479606206087,0.0,0.0,0.07658631585775667
