Parameter,Outcome,delta_raw_400,delta_400,delta_conf_400,S1_400,S1_conf_400,delta_400_norm,delta_raw_800,delta_800,delta_conf_800,S1_800,S1_conf_800,delta_800_norm,delta_raw_1200,delta_1200,delta_conf_1200,S1_1200,S1_conf_1200,delta_1200_norm,delta_raw_1600,delta_1600,delta_conf_1600,S1_1600,S1_conf_1600,delta_1600_norm,delta_raw_2000,delta_2000,delta_conf_2000,S1_2000,S1_conf_2000,delta_2000_norm,delta_raw_2400,delta_2400,delta_conf_2400,S1_2400,S1_conf_2400,delta_2400_norm,delta_raw_2800,delta_2800,delta_conf_2800,S1_2800,S1_conf_2800,delta_2800_norm,delta_raw_3200,delta_3200,delta_conf_3200,S1_3200,S1_conf_3200,delta_3200_norm,delta_raw_3600,delta_3600,delta_conf_3600,S1_3600,S1_conf_3600,delta_3600_norm,delta_raw_4000,delta_4000,delta_conf_4000,S1_4000,S1_conf_4000,delta_4000_norm
Solar PV Potential,Electricity capacity_Carrier_sum 2050 Solar PV,,,,,,,,,,,,,,,,,,,,,,,,,0.4122322963594636,0.4122322963594636,0.023343323238728047,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuclear Costs,Electricity capacity_Carrier_sum 2050 Solar PV,,,,,,,,,,,,,,,,,,,,,,,,,0.07671513865948693,0.07671513865948693,0.009365462251738007,0.0,0.0,0.06548751947586089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuclear Potential,Electricity capacity_Carrier_sum 2050 Solar PV,,,,,,,,,,,,,,,,,,,,,,,,,0.05819627337318318,0.05819627337318318,0.008271324750332053,0.0,0.0,0.013907114903313185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrogen Import Potential,Electricity capacity_Carrier_sum 2050 Solar PV,,,,,,,,,,,,,,,,,,,,,,,,,0.07712322282138392,0.07712322282138392,0.010792046156245492,0.0,0.0,0.06662415208508797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrogen Import Price,Electricity capacity_Carrier_sum 2050 Solar PV,,,,,,,,,,,,,,,,,,,,,,,,,0.08704875381733203,0.08704875381733203,0.01046644402504351,0.0,0.0,0.09426963124665436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass Import Potential,Electricity capacity_Carrier_sum 2050 Solar PV,,,,,,,,,,,,,,,,,,,,,,,,,0.08069094774810738,0.08069094774810738,0.0092901275081781,0.0,0.0,0.0765612995441205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass Import Price,Electricity capacity_Carrier_sum 2050 Solar PV,,,,,,,,,,,,,,,,,,,,,,,,,0.07775054350592997,0.07775054350592997,0.012859058134047304,0.0,0.0,0.06837142192075893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammonia Import Potential,Electricity capacity_Carrier_sum 2050 Solar PV,,,,,,,,,,,,,,,,,,,,,,,,,0.0788002339038499,0.0788002339038499,0.009590624962942289,0.0,0.0,0.071295113764917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammonia Import Price,Electricity capacity_Carrier_sum 2050 Solar PV,,,,,,,,,,,,,,,,,,,,,,,,,0.07880048047498611,0.07880048047498611,0.013685471462357778,0.0,0.0,0.07129580053696083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS potential,Electricity capacity_Carrier_sum 2050 Solar PV,,,,,,,,,,,,,,,,,,,,,,,,,0.09753508840917532,0.09753508840917532,0.0094909608184263,0.0,0.0,0.12347711088259146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flexibility Costs,Electricity capacity_Carrier_sum 2050 Solar PV,,,,,,,,,,,,,,,,,,,,,,,,,0.08700543930823967,0.08700543930823967,0.008675340655027623,0.0,0.0,0.09414898779100499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LNG Price,Electricity capacity_Carrier_sum 2050 Solar PV,,,,,,,,,,,,,,,,,,,,,,,,,0.06311518869692546,0.06311518869692546,0.008992423433132347,0.0,0.0,0.02760771904585633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity Trade Price,Electricity capacity_Carrier_sum 2050 Solar PV,,,,,,,,,,,,,,,,,,,,,,,,,0.09214489551525475,0.09214489551525475,0.010561263190750247,0.0,0.0,0.10846386218219077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weather Conditions,Electricity capacity_Carrier_sum 2050 Solar PV,,,,,,,,,,,,,,,,,,,,,,,,,0.12340017434000224,0.12340017434000224,0.01273718496753106,0.0,0.0,0.1955188680847709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity Trade Ratio,Electricity capacity_Carrier_sum 2050 Solar PV,,,,,,,,,,,,,,,,,,,,,,,,,0.09511134468242437,0.09511134468242437,0.012582120004107302,0.0,0.0,0.11672628246663824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity Trade Volume,Electricity capacity_Carrier_sum 2050 Solar PV,,,,,,,,,,,,,,,,,,,,,,,,,0.05320321468064483,0.05320321468064483,0.009269790057812342,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WACC,Electricity capacity_Carrier_sum 2050 Solar PV,,,,,,,,,,,,,,,,,,,,,,,,,0.06533772211610826,0.06533772211610826,0.009887514259584486,0.0,0.0,0.033798118466399754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunker Emission Reduction,Electricity capacity_Carrier_sum 2050 Solar PV,,,,,,,,,,,,,,,,,,,,,,,,,0.05494888509876066,0.05494888509876066,0.0111985685172899,0.0,0.0,0.004862197819611387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End-of-Life Emission Reduction,Electricity capacity_Carrier_sum 2050 Solar PV,,,,,,,,,,,,,,,,,,,,,,,,,0.07315452727566345,0.07315452727566345,0.008230787797520307,0.0,0.0,0.05557018529453476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2 Cap,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.07853282472102693,0.07853282472102693,0.012481092518570937,0.0,0.0,0.12097641919134001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buildings demand,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.08146774291855613,0.08146774291855613,0.012114018897467178,0.0,0.0,0.13534716284704237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steel Production,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.07292531971955342,0.07292531971955342,0.011772177975776947,0.0,0.0,0.09351943010316527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemical Production,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.07117289155247776,0.07117289155247776,0.013243476602591888,0.0,0.0,0.0849387153202872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger Cars,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.06900029024845247,0.06900029024845247,0.010770473312137825,0.0,0.0,0.07430063469763931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunker aviation,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.06396294667123364,0.06396294667123364,0.010667613788432909,0.0,0.0,0.04963542484107386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunker navigation,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.0759170402932825,0.0759170402932825,0.012137054167898583,0.0,0.0,0.10816830498177206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture neGHG CH4,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.0819608294991465,0.0819608294991465,0.010139651211229504,0.0,0.0,0.13776154729417842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture neGHG N2O,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.05382596871808813,0.05382596871808813,0.010090232415512877,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind offshore Costs,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.11535100531179332,0.11535100531179332,0.013070629743467888,0.0,0.0,0.3012555954848032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind offshore Potential,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.25805466194682125,0.25805466194682125,0.014100869482572258,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar PV Costs,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.07513330000019967,0.07513330000019967,0.011413241391185856,0.0,0.0,0.10433074288071582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar PV Potential,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.08675960381078979,0.08675960381078979,0.012395325043895037,0.0,0.0,0.16125860951289775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuclear Costs,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.07685477112233292,0.07685477112233292,0.01167979400995692,0.0,0.0,0.11275987737165255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuclear Potential,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.06670655217908332,0.06670655217908332,0.010313125439279142,0.0,0.0,0.06306941134157444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrogen Import Potential,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.0711307305778802,0.0711307305778802,0.012839116430046047,0.0,0.0,0.08473227530477805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrogen Import Price,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.08710333436975715,0.08710333436975715,0.011037125018246236,0.0,0.0,0.16294167643916155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass Import Potential,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.09819227390029363,0.09819227390029363,0.011234493518249502,0.0,0.0,0.21723835412547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass Import Price,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.09138726134937927,0.09138726134937927,0.013899997790810992,0.0,0.0,0.18391780330897506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammonia Import Potential,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.09330849078877089,0.09330849078877089,0.01151414661056971,0.0,0.0,0.19332504873085057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammonia Import Price,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.10467807106254057,0.10467807106254057,0.015382777647633943,0.0,0.0,0.24899587585128813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCS potential,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.091561603836051,0.091561603836051,0.012408164525276804,0.0,0.0,0.18477146634679542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flexibility Costs,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.06754598637037114,0.06754598637037114,0.011081099647162354,0.0,0.0,0.06717967703449383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LNG Price,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.06534477422448651,0.06534477422448651,0.010248131112060934,0.0,0.0,0.05640150423671116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity Trade Price,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.06512949997486883,0.06512949997486883,0.009868987879676158,0.0,0.0,0.05534741998334638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weather Conditions,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.15220572452508294,0.15220572452508294,0.014523895886525025,0.0,0.0,0.4817136821064165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity Trade Ratio,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.11416274903894706,0.11416274903894706,0.012809025821552814,0.0,0.0,0.2954373323697598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity Trade Volume,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.08042278808237746,0.08042278808237746,0.013475400944620264,0.0,0.0,0.13023057114947745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WACC,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.10378638399537027,0.10378638399537027,0.012741858671667246,0.0,0.0,0.24462975543464507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunker Emission Reduction,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.07389259775418112,0.07389259775418112,0.011442244573470442,0.0,0.0,0.09825567954654964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End-of-Life Emission Reduction,Electricity capacity_Carrier_sum 2050 Wind offshore,,,,,,,,,,,,,,,,,,,,,,,,,0.09124530447786464,0.09124530447786464,0.011387973819348288,0.0,0.0,0.18322271551660668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2 Cap,Electricity capacity_Carrier_sum 2050 Wind onshore,,,,,,,,,,,,,,,,,,,,,,,,,0.11487091433185015,0.11487091433185015,0.0010553742554895097,0.0,0.0,0.07392024490804193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buildings demand,Electricity capacity_Carrier_sum 2050 Wind onshore,,,,,,,,,,,,,,,,,,,,,,,,,0.11373597274803578,0.11373597274803578,0.001140334918628244,0.0,0.0,0.04530955022057659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steel Production,Electricity capacity_Carrier_sum 2050 Wind onshore,,,,,,,,,,,,,,,,,,,,,,,,,0.11235413457186154,0.11235413457186154,0.0009995768612580396,0.0,0.0,0.01047484971279137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemical Production,Electricity capacity_Carrier_sum 2050 Wind onshore,,,,,,,,,,,,,,,,,,,,,,,,,0.11508696524316168,0.11508696524316168,0.0012553770314386384,0.0,0.0,0.07936666325118548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passenger Cars,Electricity capacity_Carrier_sum 2050 Wind onshore,,,,,,,,,,,,,,,,,,,,,,,,,0.11455282073674311,0.11455282073674311,0.0010455665448856632,0.0,0.0,0.06590143683771026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunker aviation,Electricity capacity_Carrier_sum 2050 Wind onshore,,,,,,,,,,,,,,,,,,,,,,,,,0.11628861171495579,0.11628861171495579,0.0011027548563755137,0.0,0.0,0.10965891865628317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunker navigation,Electricity capacity_Carrier_sum 2050 Wind onshore,,,,,,,,,,,,,,,,,,,,,,,,,0.11371914568500026,0.11371914568500026,0.001116268782316149,0.0,0.0,0.04488535749571588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture neGHG CH4,Electricity capacity_Carrier_sum 2050 Wind onshore,,,,,,,,,,,,,,,,,,,,,,,,,0.11576650877315448,0.11576650877315448,0.0011054383713591926,0.0,0.0,0.09649724753916597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture neGHG N2O,Electricity capacity_Carrier_sum 2050 Wind onshore,,,,,,,,,,,,,,,,,,,,,,,,,0.11503801979475427,0.11503801979475427,0.0011786150213532437,0.0,0.0,0.07813279949934437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind offshore Costs,Electricity capacity_Carrier_sum 2050 Wind onshore,,,,,,,,,,,,,,,,,,,,,,,,,0.11438820644569894,0.11438820644569894,0.0012208920665845839,0.0,0.0,0.06175168209312724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind offshore Potential,Electricity capacity_Carrier_sum 2050 Wind onshore,,,,,,,,,,,,,,,,,,,,,,,,,0.11841056838790097,0.11841056838790097,0.002497588386595076,0.0,0.0,0.16315123524373668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar PV Costs,Electricity capacity_Carrier_sum 2050 Wind onshore,,,,,,,,,,,,,,,,,,,,,,,,,0.11350714118468541,0.11350714118468541,0.0009441118191401103,0.0,0.0,0.03954094495732676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
