Parameter,Outcome,delta_raw_1200,delta_1200,delta_conf_1200,S1_1200,S1_conf_1200,delta_1200_norm
CO2 Cap,BioEnergy Imports 2050,0.10734711568913208,0.10734711568913208,0.015952744999953167,0.0,0.0,0.3146434714130823
Buildings demand,BioEnergy Imports 2050,0.05875665324927981,0.05875665324927981,0.014263572713535096,0.0,0.0,0.11087812907423077
Steel Production,BioEnergy Imports 2050,0.07242493589825817,0.07242493589825817,0.014324094677833004,0.0,0.0,0.1681964206340369
Chemical Production,BioEnergy Imports 2050,0.10835559540493782,0.10835559540493782,0.01667188128433039,0.0,0.0,0.3188725567976331
Passenger Cars,BioEnergy Imports 2050,0.04796942681732147,0.04796942681732147,0.014800692220862782,0.0,0.0,0.06564162017054267
Bunker aviation,BioEnergy Imports 2050,0.07145984126430577,0.07145984126430577,0.013059642252641005,0.0,0.0,0.16414927169570095
Bunker navigation,BioEnergy Imports 2050,0.09466171876587418,0.09466171876587418,0.015222394445672338,0.0,0.0,0.261446936188263
Agriculture neGHG CH4,BioEnergy Imports 2050,0.0342864346608711,0.0342864346608711,0.01587441537314983,0.0,0.0,0.008261643916350689
Agriculture neGHG N2O,BioEnergy Imports 2050,0.04785048417901447,0.04785048417901447,0.01321146655432067,0.0,0.0,0.06514283118611361
Wind offshore Costs,BioEnergy Imports 2050,0.08134548512802113,0.08134548512802113,0.012276641120202743,0.0,0.0,0.20560497112690918
Wind offshore Potential,BioEnergy Imports 2050,0.06119488132892635,0.06119488132892635,0.015638571239372717,0.0,0.0,0.12110290065289962
Solar PV Costs,BioEnergy Imports 2050,0.03231633958090749,0.03231633958090749,0.016199115276482996,0.0,0.0,0.0
Solar PV Potential,BioEnergy Imports 2050,0.0669393439229659,0.0669393439229659,0.012857856765711257,0.0,0.0,0.14519245091137117
Nuclear Costs,BioEnergy Imports 2050,0.07434281426083358,0.07434281426083358,0.011770731376418998,0.0,0.0,0.17623909241552493
Nuclear Potential,BioEnergy Imports 2050,0.056239352448186855,0.056239352448186855,0.016339404570890798,0.0,0.0,0.10032176402338333
Hydrogen Import Potential,BioEnergy Imports 2050,0.05021291352690762,0.05021291352690762,0.015615087260679417,0.0,0.0,0.07504973885180367
Hydrogen Import Price,BioEnergy Imports 2050,0.04774180560055318,0.04774180560055318,0.012772274056931217,0.0,0.0,0.0646870847981784
Biomass Import Potential,BioEnergy Imports 2050,0.27077918062209283,0.27077918062209283,0.017181198829470872,0.0,0.0,1.0
Biomass Import Price,BioEnergy Imports 2050,0.1930993849924944,0.1930993849924944,0.019150856746138593,0.0,0.0,0.6742477977263459
Ammonia Import Potential,BioEnergy Imports 2050,0.053104794458621624,0.053104794458621624,0.01559945440375346,0.0,0.0,0.08717691522480739
Ammonia Import Price,BioEnergy Imports 2050,0.06375276786302843,0.06375276786302843,0.014622763330077011,0.0,0.0,0.1318294630092556
CCS potential,BioEnergy Imports 2050,0.08331017805012202,0.08331017805012202,0.01836093748840173,0.0,0.0,0.21384396095661418
Flexibility Costs,BioEnergy Imports 2050,0.10930648572338125,0.10930648572338125,0.016270030634233008,0.0,0.0,0.32286013957695264
LNG Price,BioEnergy Imports 2050,0.05432943835110554,0.05432943835110554,0.015045331739583652,0.0,0.0,0.09231249059217629
Electricity Trade Price,BioEnergy Imports 2050,0.05577492222770609,0.05577492222770609,0.014308010538130035,0.0,0.0,0.0983741640599972
Weather Conditions,BioEnergy Imports 2050,0.06598061532360062,0.06598061532360062,0.01228710978490423,0.0,0.0,0.14117199810128456
Electricity Trade Ratio,BioEnergy Imports 2050,0.04819399326986924,0.04819399326986924,0.01340857230710778,0.0,0.0,0.06658334531131203
Electricity Trade Volume,BioEnergy Imports 2050,0.05095629438627139,0.05095629438627139,0.014937737848944812,0.0,0.0,0.07816712542707885
WACC,BioEnergy Imports 2050,0.0748673293000905,0.0748673293000905,0.0178792455657618,0.0,0.0,0.17843865959742533
Bunker Emission Reduction,BioEnergy Imports 2050,0.11452737667139991,0.11452737667139991,0.016323323703049536,0.0,0.0,0.34475407879709696
End-of-Life Emission Reduction,BioEnergy Imports 2050,0.06787243964356991,0.06787243964356991,0.01233117184326132,0.0,0.0,0.1491054115912402
CO2 Cap,Biomass Imports 2050,0.057347052108369476,0.057347052108369476,0.01584495874226652,0.0,0.0,0.07181140518762372
Buildings demand,Biomass Imports 2050,0.08746376215091622,0.08746376215091622,0.017861795274363313,0.0,0.0,0.1927812920741835
