Parameter,Outcome,delta_raw_3600,delta_3600,delta_conf_3600,S1_3600,S1_conf_3600,delta_3600_norm
CO2 Cap,BioEnergy Imports 2050,0.06104178693418652,0.06104178693418652,0.00848629766565566,0.0,0.0,0.03974943546116423
Buildings demand,BioEnergy Imports 2050,0.06736452033354938,0.06736452033354938,0.007829400945787997,0.0,0.0,0.06157959548547134
Steel Production,BioEnergy Imports 2050,0.04995261422725108,0.04995261422725108,0.008088369323703524,0.0,0.0,0.0014624479449780038
Chemical Production,BioEnergy Imports 2050,0.087645124683789,0.087645124683789,0.011334184751040656,0.0,0.0,0.13160134247230515
Passenger Cars,BioEnergy Imports 2050,0.06500905650075844,0.06500905650075844,0.007374057687728823,0.0,0.0,0.05344701276318299
Bunker aviation,BioEnergy Imports 2050,0.060728283287199064,0.060728283287199064,0.008409892515646505,0.0,0.0,0.03866701835614606
Bunker navigation,BioEnergy Imports 2050,0.05552817725277761,0.05552817725277761,0.008928403763217997,0.0,0.0,0.020712893185183656
Agriculture neGHG CH4,BioEnergy Imports 2050,0.05950614821478786,0.05950614821478786,0.009725696779242364,0.0,0.0,0.03444741861709283
Agriculture neGHG N2O,BioEnergy Imports 2050,0.05522573240953476,0.05522573240953476,0.007750151716865889,0.0,0.0,0.01966865821440611
Wind offshore Costs,BioEnergy Imports 2050,0.0601727368853805,0.0601727368853805,0.007624452308130821,0.0,0.0,0.03674891330780584
Wind offshore Potential,BioEnergy Imports 2050,0.06699952946087648,0.06699952946087648,0.006736178121862675,0.0,0.0,0.06031941121791012
Solar PV Costs,BioEnergy Imports 2050,0.06283476582620391,0.06283476582620391,0.008086793657524837,0.0,0.0,0.04593995681651487
Solar PV Potential,BioEnergy Imports 2050,0.06662190195064689,0.06662190195064689,0.008144988831087904,0.0,0.0,0.059015597114547284
Nuclear Costs,BioEnergy Imports 2050,0.06821556483572475,0.06821556483572475,0.00750424396814348,0.0,0.0,0.06451795086072204
Nuclear Potential,BioEnergy Imports 2050,0.062145820323674335,0.062145820323674335,0.008231073837054908,0.0,0.0,0.04356127189999397
Hydrogen Import Potential,BioEnergy Imports 2050,0.060914524741803325,0.060914524741803325,0.00965930121157092,0.0,0.0,0.039310044164822484
Hydrogen Import Price,BioEnergy Imports 2050,0.0668047415804525,0.0668047415804525,0.008622683830212039,0.0,0.0,0.05964687762652393
Biomass Import Potential,BioEnergy Imports 2050,0.3391619797961005,0.3391619797961005,0.012175285367204854,0.0,0.0,1.0
Biomass Import Price,BioEnergy Imports 2050,0.2322004419218583,0.2322004419218583,0.0103982262962232,0.0,0.0,0.6306996767448728
Ammonia Import Potential,BioEnergy Imports 2050,0.0564979632276817,0.0564979632276817,0.007478805707549725,0.0,0.0,0.024061220828354296
Ammonia Import Price,BioEnergy Imports 2050,0.08058960970677181,0.08058960970677181,0.009500864013750637,0.0,0.0,0.10724114708312402
CCS potential,BioEnergy Imports 2050,0.08775040698054021,0.08775040698054021,0.0106886420598408,0.0,0.0,0.13196484497045524
Flexibility Costs,BioEnergy Imports 2050,0.049529041131302805,0.049529041131302805,0.008865202776739507,0.0,0.0,0.0
LNG Price,BioEnergy Imports 2050,0.058138206880881914,0.058138206880881914,0.008351818174159226,0.0,0.0,0.02972440147611386
Electricity Trade Price,BioEnergy Imports 2050,0.06991683422423259,0.06991683422423259,0.008205993956702198,0.0,0.0,0.07039183176788219
Weather Conditions,BioEnergy Imports 2050,0.06432299371935501,0.06432299371935501,0.008664307499225346,0.0,0.0,0.05107828086215624
Electricity Trade Ratio,BioEnergy Imports 2050,0.056837193987536686,0.056837193987536686,0.00821190391537218,0.0,0.0,0.025232464546071053
Electricity Trade Volume,BioEnergy Imports 2050,0.07978277048965053,0.07978277048965053,0.008193659000781188,0.0,0.0,0.104455416907403
WACC,BioEnergy Imports 2050,0.09801094844938818,0.09801094844938818,0.009006519315657442,0.0,0.0,0.16739086217743754
Bunker Emission Reduction,BioEnergy Imports 2050,0.10113672266837768,0.10113672266837768,0.009640940865722793,0.0,0.0,0.1781830539543786
End-of-Life Emission Reduction,BioEnergy Imports 2050,0.08558973111713758,0.08558973111713758,0.007442630165427065,0.0,0.0,0.12450479614671543
CO2 Cap,BioFuel Production 2050,0.0697656117949184,0.0697656117949184,0.008835625060593096,0.0,0.0,0.09564065468362525
Buildings demand,BioFuel Production 2050,0.06494141934927522,0.06494141934927522,0.00860917277062207,0.0,0.0,0.06654068774801686
Steel Production,BioFuel Production 2050,0.05667706720152977,0.05667706720152977,0.007930696734858826,0.0,0.0,0.0166893650751807
Chemical Production,BioFuel Production 2050,0.10300220462281384,0.10300220462281384,0.009829649357881607,0.0,0.0,0.2961268009644434
