Parameter,Outcome,delta_raw_800,delta_800,delta_conf_800,S1_800,S1_conf_800,delta_800_norm
CO2 Cap,BioEnergy Imports 2050,0.06612466695641894,0.06612466695641894,0.01781062411247521,0.0,0.0,0.11306229436096008
Buildings demand,BioEnergy Imports 2050,0.04342066048584898,0.04342066048584898,0.019801498749568547,0.0,0.0,0.007873798422042097
Steel Production,BioEnergy Imports 2050,0.08524701631717681,0.08524701631717681,0.016646828344892554,0.0,0.0,0.2016568413491311
Chemical Production,BioEnergy Imports 2050,0.11443614462118404,0.11443614462118404,0.022118489674801026,0.0,0.0,0.3368911449530598
Passenger Cars,BioEnergy Imports 2050,0.0868016717746876,0.0868016717746876,0.017821723298400417,0.0,0.0,0.20885961718919124
Bunker aviation,BioEnergy Imports 2050,0.058666771444222346,0.058666771444222346,0.014395068925170248,0.0,0.0,0.07850959051045449
Bunker navigation,BioEnergy Imports 2050,0.04172117073912025,0.04172117073912025,0.021038326122460746,0.0,0.0,0.0
Agriculture neGHG CH4,BioEnergy Imports 2050,0.08076748612919765,0.08076748612919765,0.018820765410065783,0.0,0.0,0.1809030134466729
Agriculture neGHG N2O,BioEnergy Imports 2050,0.0822186105454588,0.0822186105454588,0.01653954037898971,0.0,0.0,0.187626126169734
Wind offshore Costs,BioEnergy Imports 2050,0.04964889753943923,0.04964889753943923,0.02123015744458413,0.0,0.0,0.036729449466161516
Wind offshore Potential,BioEnergy Imports 2050,0.054634465532127724,0.054634465532127724,0.016931059171119867,0.0,0.0,0.059827769105556344
Solar PV Costs,BioEnergy Imports 2050,0.06194131015998394,0.06194131015998394,0.016066820345731463,0.0,0.0,0.09368064866053048
Solar PV Potential,BioEnergy Imports 2050,0.06120813553927615,0.06120813553927615,0.015218314545060129,0.0,0.0,0.09028382371191147
Nuclear Costs,BioEnergy Imports 2050,0.06532996590802163,0.06532996590802163,0.018495419355001517,0.0,0.0,0.10938041521287438
Nuclear Potential,BioEnergy Imports 2050,0.06966952919311105,0.06966952919311105,0.01826522103006563,0.0,0.0,0.12948577131299735
Hydrogen Import Potential,BioEnergy Imports 2050,0.05840132076403859,0.05840132076403859,0.014764826966532266,0.0,0.0,0.07727974775866148
Hydrogen Import Price,BioEnergy Imports 2050,0.05845258488778402,0.05845258488778402,0.019561804566084848,0.0,0.0,0.07751725632700154
Biomass Import Potential,BioEnergy Imports 2050,0.2575623258760278,0.2575623258760278,0.02483292109955716,0.0,0.0,1.0
Biomass Import Price,BioEnergy Imports 2050,0.2572895288999989,0.2572895288999989,0.02810928059638815,0.0,0.0,0.9987361215897133
Ammonia Import Potential,BioEnergy Imports 2050,0.10776314481316916,0.10776314481316916,0.017393569339209526,0.0,0.0,0.3059748917307204
Ammonia Import Price,BioEnergy Imports 2050,0.07896936336000074,0.07896936336000074,0.021059523213759944,0.0,0.0,0.17257224460855966
CCS potential,BioEnergy Imports 2050,0.08281529955002018,0.08281529955002018,0.01969524246111246,0.0,0.0,0.19039060824537385
Flexibility Costs,BioEnergy Imports 2050,0.05401726917630539,0.05401726917630539,0.017936732056883238,0.0,0.0,0.056968275718250985
LNG Price,BioEnergy Imports 2050,0.05395790626672559,0.05395790626672559,0.016709332765337977,0.0,0.0,0.05669324517765672
Electricity Trade Price,BioEnergy Imports 2050,0.06964720604465496,0.06964720604465496,0.018527396847153207,0.0,0.0,0.12938234734622917
Weather Conditions,BioEnergy Imports 2050,0.10220710116725806,0.10220710116725806,0.018670843008872545,0.0,0.0,0.2802335374353039
Electricity Trade Ratio,BioEnergy Imports 2050,0.0760670687512684,0.0760670687512684,0.01867644780795282,0.0,0.0,0.15912580707957488
Electricity Trade Volume,BioEnergy Imports 2050,0.069636185631603,0.069636185631603,0.015777377506233738,0.0,0.0,0.12933128936775895
WACC,BioEnergy Imports 2050,0.04444235971176511,0.04444235971176511,0.014974117435737514,0.0,0.0,0.012607368464641583
Bunker Emission Reduction,BioEnergy Imports 2050,0.11641195522232943,0.11641195522232943,0.020754906111772078,0.0,0.0,0.34604514804339787
End-of-Life Emission Reduction,BioEnergy Imports 2050,0.04866675174035937,0.04866675174035937,0.015595368113321992,0.0,0.0,0.03217913190296611
CO2 Cap,Biomass Imports 2050,0.06248875676548172,0.06248875676548172,0.01953739362611821,0.0,0.0,0.09037691455202237
Buildings demand,Biomass Imports 2050,0.07580364863842126,0.07580364863842126,0.018170347169596576,0.0,0.0,0.14452607371354234
Steel Production,Biomass Imports 2050,0.1135944898990005,0.1135944898990005,0.01650597482018979,0.0,0.0,0.2982143122508538
Chemical Production,Biomass Imports 2050,0.07909052259308809,0.07909052259308809,0.01678261717039174,0.0,0.0,0.15789317144242654
Passenger Cars,Biomass Imports 2050,0.0795172175652015,0.0795172175652015,0.01650618408871648,0.0,0.0,0.15962845958286928
Bunker aviation,Biomass Imports 2050,0.08254647262026364,0.08254647262026364,0.016248433188918714,0.0,0.0,0.1719478697352542
Bunker navigation,Biomass Imports 2050,0.07054754205959117,0.07054754205959117,0.019385393619172738,0.0,0.0,0.12315047754475812
Agriculture neGHG CH4,Biomass Imports 2050,0.0669903689093907,0.0669903689093907,0.020274803479335447,0.0,0.0,0.10868412386247572
Agriculture neGHG N2O,Biomass Imports 2050,0.05636909094876083,0.05636909094876083,0.019746812522995254,0.0,0.0,0.06548938549905271
Wind offshore Costs,Biomass Imports 2050,0.0816589249132206,0.0816589249132206,0.017922470372881166,0.0,0.0,0.1683383802620584
Wind offshore Potential,Biomass Imports 2050,0.044602641498006385,0.044602641498006385,0.019266158912299738,0.0,0.0,0.01763745022575342
Solar PV Costs,Biomass Imports 2050,0.06667168553412241,0.06667168553412241,0.016476815767804347,0.0,0.0,0.10738809855680996
Solar PV Potential,Biomass Imports 2050,0.078909603143155,0.078909603143155,0.015151135421931918,0.0,0.0,0.1571574060916202
Nuclear Costs,Biomass Imports 2050,0.06740858901081292,0.06740858901081292,0.01867969413511496,0.0,0.0,0.11038494629893007
Nuclear Potential,Biomass Imports 2050,0.05748104387727063,0.05748104387727063,0.018953083518658986,0.0,0.0,0.0700114887711315
Hydrogen Import Potential,Biomass Imports 2050,0.09996828809985331,0.09996828809985331,0.019018360314397572,0.0,0.0,0.242799114213191
Hydrogen Import Price,Biomass Imports 2050,0.0402657183341626,0.0402657183341626,0.016484117266494437,0.0,0.0,0.0
Biomass Import Potential,Biomass Imports 2050,0.2796136581605121,0.2796136581605121,0.02835032430605643,0.0,0.0,0.9733830219815074
Biomass Import Price,Biomass Imports 2050,0.28615858313789727,0.28615858313789727,0.022368289556834862,0.0,0.0,1.0
Ammonia Import Potential,Biomass Imports 2050,0.0790108545201423,0.0790108545201423,0.015262156894910417,0.0,0.0,0.15756917638462206
Ammonia Import Price,Biomass Imports 2050,0.0867266458861776,0.0867266458861776,0.017879653568208937,0.0,0.0,0.18894784762908393
CCS potential,Biomass Imports 2050,0.11567031267532375,0.11567031267532375,0.016630702191241305,0.0,0.0,0.30665629277753603
Flexibility Costs,Biomass Imports 2050,0.06875824477769399,0.06875824477769399,0.0162569302964733,0.0,0.0,0.11587374227500821
LNG Price,Biomass Imports 2050,0.07261763490039744,0.07261763490039744,0.019165446280598988,0.0,0.0,0.1315691555021627
Electricity Trade Price,Biomass Imports 2050,0.04775125615018719,0.04775125615018719,0.016543079198793997,0.0,0.0,0.030442273394144036
Weather Conditions,Biomass Imports 2050,0.053867432283658735,0.053867432283658735,0.01850989245476502,0.0,0.0,0.05531561056215548
Electricity Trade Ratio,Biomass Imports 2050,0.06514755993934591,0.06514755993934591,0.016917513140794652,0.0,0.0,0.10118976662882576
Electricity Trade Volume,Biomass Imports 2050,0.1098409319675869,0.1098409319675869,0.018655807927590928,0.0,0.0,0.28294929862628365
WACC,Biomass Imports 2050,0.06492066809744187,0.06492066809744187,0.015155371782535988,0.0,0.0,0.10026704021264797
