Parameter,Outcome,delta_raw_4000,delta_4000,delta_conf_4000,S1_4000,S1_conf_4000,delta_4000_norm
CO2 Cap,BioEnergy Imports 2050,0.07074890620482187,0.07074890620482187,0.008015715586341095,0.0,0.0,0.10337953406408171
Buildings demand,BioEnergy Imports 2050,0.05064819122555388,0.05064819122555388,0.00730184411208407,0.0,0.0,0.035281443991735245
Steel Production,BioEnergy Imports 2050,0.05648198474256041,0.05648198474256041,0.007546939040059319,0.0,0.0,0.05504542735224398
Chemical Production,BioEnergy Imports 2050,0.08933179391458172,0.08933179391458172,0.009114256502976066,0.0,0.0,0.16633546186907422
Passenger Cars,BioEnergy Imports 2050,0.04023406288536913,0.04023406288536913,0.007793939857387758,0.0,0.0,0.0
Bunker aviation,BioEnergy Imports 2050,0.051187608707095704,0.051187608707095704,0.008059450347192283,0.0,0.0,0.037108906362229035
Bunker navigation,BioEnergy Imports 2050,0.06400737956604069,0.06400737956604069,0.009323086702762504,0.0,0.0,0.08054029233828502
Agriculture neGHG CH4,BioEnergy Imports 2050,0.0638702462786736,0.0638702462786736,0.0077951362061499975,0.0,0.0,0.08007570613004951
Agriculture neGHG N2O,BioEnergy Imports 2050,0.05744679377645762,0.05744679377645762,0.0062424560693256975,0.0,0.0,0.05831405001371206
Wind offshore Costs,BioEnergy Imports 2050,0.0702501515540506,0.0702501515540506,0.007310633307792309,0.0,0.0,0.10168983102778399
Wind offshore Potential,BioEnergy Imports 2050,0.05028293692791637,0.05028293692791637,0.0078135621813498,0.0,0.0,0.0340440193486076
Solar PV Costs,BioEnergy Imports 2050,0.0577059608700977,0.0577059608700977,0.007452834508229144,0.0,0.0,0.05919206774117566
Solar PV Potential,BioEnergy Imports 2050,0.04135559486501104,0.04135559486501104,0.0072790223989833884,0.0,0.0,0.0037995755796470074
Nuclear Costs,BioEnergy Imports 2050,0.05146784553356697,0.05146784553356697,0.008224560220464059,0.0,0.0,0.03805830506124604
Nuclear Potential,BioEnergy Imports 2050,0.06143313602125524,0.06143313602125524,0.008321883442137046,0.0,0.0,0.07181915635074614
Hydrogen Import Potential,BioEnergy Imports 2050,0.05914769328754896,0.05914769328754896,0.008180844593608301,0.0,0.0,0.06407643250755736
Hydrogen Import Price,BioEnergy Imports 2050,0.04043028348222541,0.04043028348222541,0.007046728708120478,0.0,0.0,0.000664764805259426
Biomass Import Potential,BioEnergy Imports 2050,0.3354070252682093,0.3354070252682093,0.01200529908928212,0.0,0.0,1.0
Biomass Import Price,BioEnergy Imports 2050,0.2420816347265793,0.2420816347265793,0.011880559276878802,0.0,0.0,0.6838281196616284
Ammonia Import Potential,BioEnergy Imports 2050,0.06926307789224427,0.06926307789224427,0.007782782383634329,0.0,0.0,0.098345779276438
Ammonia Import Price,BioEnergy Imports 2050,0.07487942663610106,0.07487942663610106,0.008490864830603692,0.0,0.0,0.11737309362975051
CCS potential,BioEnergy Imports 2050,0.09080391425918265,0.09080391425918265,0.01038144902543931,0.0,0.0,0.171322776197314
Flexibility Costs,BioEnergy Imports 2050,0.05927898720023239,0.05927898720023239,0.0072118518535023894,0.0,0.0,0.06452123582430946
LNG Import Price,BioEnergy Imports 2050,0.05027520536051493,0.05027520536051493,0.008124191109133868,0.0,0.0,0.03401782600305513
Electricity Trade Price,BioEnergy Imports 2050,0.06156653476827547,0.06156653476827547,0.00742038034275371,0.0,0.0,0.07227109051823676
Weather Conditions,BioEnergy Imports 2050,0.06836575979772125,0.06836575979772125,0.008502945051528326,0.0,0.0,0.09530580540051369
Electricity Trade Ratio,BioEnergy Imports 2050,0.05722892361565482,0.05722892361565482,0.007093921592794711,0.0,0.0,0.05757593985943504
Electricity Trade Volume,BioEnergy Imports 2050,0.0614839281012616,0.0614839281012616,0.008310734843094546,0.0,0.0,0.07199123200292083
WACC,BioEnergy Imports 2050,0.05873649834315535,0.05873649834315535,0.009249988289084736,0.0,0.0,0.0626833681121122
Bunker Emission Reduction,BioEnergy Imports 2050,0.08861840464140416,0.08861840464140416,0.00928429941811885,0.0,0.0,0.16391861017839568
End-of-Life Emission Reduction,BioEnergy Imports 2050,0.07359728577275952,0.07359728577275952,0.007261264615595502,0.0,0.0,0.11302940017967564
CO2 Cap,BioFuel Production 2050,0.0644322209543596,0.0644322209543596,0.007325154470062355,0.0,0.0,0.10638154605260541
Buildings demand,BioFuel Production 2050,0.06576961685068891,0.06576961685068891,0.008125904343524226,0.0,0.0,0.11458921576733165
Steel Production,BioFuel Production 2050,0.0656157563019477,0.0656157563019477,0.007253279839002044,0.0,0.0,0.11364496540013638
Chemical Production,BioFuel Production 2050,0.09349576652267552,0.09349576652267552,0.008630286212656373,0.0,0.0,0.28474607028836363
Passenger Cars,BioFuel Production 2050,0.07440596346333603,0.07440596346333603,0.008958605902717392,0.0,0.0,0.16759093405662445
Bunker aviation,BioFuel Production 2050,0.061512297519279634,0.061512297519279634,0.007761999430600103,0.0,0.0,0.08846182070186742
Bunker navigation,BioFuel Production 2050,0.07248203767990055,0.07248203767990055,0.010703372175830592,0.0,0.0,0.1557836992434887
Agriculture neGHG CH4,BioFuel Production 2050,0.06481406759802581,0.06481406759802581,0.008255206023764507,0.0,0.0,0.10872495920460547
Agriculture neGHG N2O,BioFuel Production 2050,0.06824350376494903,0.06824350376494903,0.006541996184202281,0.0,0.0,0.12977159127750043
Wind offshore Costs,BioFuel Production 2050,0.056952160968202686,0.056952160968202686,0.00799541165577128,0.0,0.0,0.06047602026086289
Wind offshore Potential,BioFuel Production 2050,0.05424422873546236,0.05424422873546236,0.007796547725203032,0.0,0.0,0.04385729618880917
Solar PV Costs,BioFuel Production 2050,0.05469855878289292,0.05469855878289292,0.007700694949220166,0.0,0.0,0.04664554384309067
Solar PV Potential,BioFuel Production 2050,0.06393458583374234,0.06393458583374234,0.007358508028736019,0.0,0.0,0.10332753286198267
Nuclear Costs,BioFuel Production 2050,0.04767004937003491,0.04767004937003491,0.00834996570161565,0.0,0.0,0.0035112079251206946
Nuclear Potential,BioFuel Production 2050,0.06480675885687995,0.06480675885687995,0.008018561083783418,0.0,0.0,0.1086801050716443
Hydrogen Import Potential,BioFuel Production 2050,0.05505310052660014,0.05505310052660014,0.007745224119617501,0.0,0.0,0.048821385372452945
Hydrogen Import Price,BioFuel Production 2050,0.0632104635637408,0.0632104635637408,0.00826242148542666,0.0,0.0,0.09888355599502581
Biomass Import Potential,BioFuel Production 2050,0.18252205756194484,0.18252205756194484,0.010375203357312884,0.0,0.0,0.8311051512328544
Biomass Import Price,BioFuel Production 2050,0.2100425701438615,0.2100425701438615,0.012032172371587683,0.0,0.0,1.0
Ammonia Import Potential,BioFuel Production 2050,0.08713972364305343,0.08713972364305343,0.011824087441489313,0.0,0.0,0.24573869723468547
Ammonia Import Price,BioFuel Production 2050,0.09149522009830655,0.09149522009830655,0.011932839439341902,0.0,0.0,0.2724686105284945
CCS potential,BioFuel Production 2050,0.14161717533931542,0.14161717533931542,0.011046387827942816,0.0,0.0,0.5800697144376671
Flexibility Costs,BioFuel Production 2050,0.07105309939984801,0.07105309939984801,0.008570363428966164,0.0,0.0,0.1470142290532554
LNG Import Price,BioFuel Production 2050,0.04709791681189968,0.04709791681189968,0.0072316861574145954,0.0,0.0,0.0
Electricity Trade Price,BioFuel Production 2050,0.06668429601646182,0.06668429601646182,0.008433870255195942,0.0,0.0,0.12020265043406762
Weather Conditions,BioFuel Production 2050,0.0527429772607248,0.0527429772607248,0.00863912270484372,0.0,0.0,0.034644036078462906
Electricity Trade Ratio,BioFuel Production 2050,0.07096779327552033,0.07096779327552033,0.007944153839477193,0.0,0.0,0.1464907008331923
Electricity Trade Volume,BioFuel Production 2050,0.06381621573218364,0.06381621573218364,0.008106478196449123,0.0,0.0,0.10260108925589792
WACC,BioFuel Production 2050,0.07162086706001886,0.07162086706001886,0.00886138029620328,0.0,0.0,0.15049864936752094
Bunker Emission Reduction,BioFuel Production 2050,0.13175536506980204,0.13175536506980204,0.007669991181389766,0.0,0.0,0.5195472605378006
End-of-Life Emission Reduction,BioFuel Production 2050,0.06377903750043286,0.06377903750043286,0.007808412237897393,0.0,0.0,0.10237292447116551
CO2 Cap,CO2 Storage 2050,0.05327914154727712,0.05327914154727712,0.007583247503674423,0.0,0.0,0.016007379091573796
Buildings demand,CO2 Storage 2050,0.05889794005893257,0.05889794005893257,0.006608980561193937,0.0,0.0,0.022832386132712944
Steel Production,CO2 Storage 2050,0.04695515722874175,0.04695515722874175,0.008182566750221424,0.0,0.0,0.008325801364142347
Chemical Production,CO2 Storage 2050,0.053535073358144974,0.053535073358144974,0.006764205601483316,0.0,0.0,0.016318252743227474
Passenger Cars,CO2 Storage 2050,0.051560620251643076,0.051560620251643076,0.00737668142342526,0.0,0.0,0.013919936390305926
Bunker aviation,CO2 Storage 2050,0.051283812685266855,0.051283812685266855,0.007720552567555954,0.0,0.0,0.01358370550648986
Bunker navigation,CO2 Storage 2050,0.051649136625513535,0.051649136625513535,0.006593283815520493,0.0,0.0,0.014027454905815747
Agriculture neGHG CH4,CO2 Storage 2050,0.055696581706805276,0.055696581706805276,0.007253987397780509,0.0,0.0,0.018943780188015878
Agriculture neGHG N2O,CO2 Storage 2050,0.040100805279915955,0.040100805279915955,0.006042874469544854,0.0,0.0,0.0
Wind offshore Costs,CO2 Storage 2050,0.05806079824309016,0.05806079824309016,0.008393204817318634,0.0,0.0,0.021815531946590316
Wind offshore Potential,CO2 Storage 2050,0.05056471380662056,0.05056471380662056,0.0071952228588048435,0.0,0.0,0.012710234977184433
Solar PV Costs,CO2 Storage 2050,0.051150461772132054,0.051150461772132054,0.007738986716307816,0.0,0.0,0.013421727653182
Solar PV Potential,CO2 Storage 2050,0.044421538346046036,0.044421538346046036,0.007910975849748508,0.0,0.0,0.005248281022722114
Nuclear Costs,CO2 Storage 2050,0.051909525879590405,0.051909525879590405,0.007684154175495262,0.0,0.0,0.014343742896713647
Nuclear Potential,CO2 Storage 2050,0.041928112842510634,0.041928112842510634,0.006043330251895728,0.0,0.0,0.0022195825237664732
Hydrogen Import Potential,CO2 Storage 2050,0.044589965242866424,0.044589965242866424,0.0073832801128309025,0.0,0.0,0.005452864752558991
Hydrogen Import Price,CO2 Storage 2050,0.05417729887269905,0.05417729887269905,0.007572025907667136,0.0,0.0,0.017098347215335423
Biomass Import Potential,CO2 Storage 2050,0.049562634811116925,0.049562634811116925,0.007534475279846098,0.0,0.0,0.01149303592904221
Biomass Import Price,CO2 Storage 2050,0.04641495750820243,0.04641495750820243,0.007397402688589815,0.0,0.0,0.007669634945529124
