Parameter,Outcome,S1_400,S1_conf_400,delta_400,delta_conf_400,delta_raw_400,S1_800,S1_conf_800,delta_800,delta_conf_800,delta_raw_800,S1_1200,S1_conf_1200,delta_1200,delta_conf_1200,delta_raw_1200,S1_1600,S1_conf_1600,delta_1600,delta_conf_1600,delta_raw_1600,S1_2000,S1_conf_2000,delta_2000,delta_conf_2000,delta_raw_2000,S1_2400,S1_conf_2400,delta_2400,delta_conf_2400,delta_raw_2400,S1_2800,S1_conf_2800,delta_2800,delta_conf_2800,delta_raw_2800,S1_3200,S1_conf_3200,delta_3200,delta_conf_3200,delta_raw_3200,S1_3600,S1_conf_3600,delta_3600,delta_conf_3600,delta_raw_3600,S1_4000,S1_conf_4000,delta_4000,delta_conf_4000,delta_raw_4000
Agriculture neGHG CH4,Electricity capacity_Carrier_sum 2050 Wind offshore,0.0,0.0,0.0658209060899754,0.0267428338619998,0.0658209060899754,0.0,0.0,0.0962256041749082,0.0156434063042714,0.0962256041749082,0.0,0.0,0.0892558678541951,0.0169784018909281,0.0892558678541951,0.0,0.0,0.0747390472372325,0.0128211577110809,0.0747390472372325,0.0,0.0,0.0819608294991465,0.0101396512112295,0.0819608294991465,0.0,0.0,0.0656145197162195,0.0106309732268051,0.0656145197162195,0.0,0.0,0.0742254468017515,0.010266560663714,0.0742254468017515,0.0,0.0,0.076221125661415,0.0091938157731383,0.076221125661415,0.0,0.0,0.0650907108612724,0.0087897409126316,0.0650907108612724,0.0,0.0,0.0680007977321639,0.0070389472781418,0.0680007977321639
Agriculture neGHG CH4,Electricity capacity_Carrier_sum 2050 Wind onshore,0.0,0.0,0.0758288107971916,0.0054691347270364,0.0758288107971916,0.0,0.0,0.0830486600397559,0.0014891552365348,0.0830486600397559,0.0,0.0,0.0914683666547487,0.0011382222499455,0.0914683666547487,0.0,0.0,0.1026944831487426,0.0010776987513516,0.1026944831487426,0.0,0.0,0.1157665087731544,0.0011054383713591,0.1157665087731544,0.0,0.0,0.1211411016374553,0.001055266381924,0.1211411016374553,0.0,0.0,0.124891889092526,0.0011281920894683,0.124891889092526,0.0,0.0,0.1231666798079466,0.0010534487275028,0.1231666798079466,0.0,0.0,0.1263636082543552,0.0008390539682673,0.1263636082543552,0.0,0.0,0.1265461740530647,0.0008532132207542,0.1265461740530647
Agriculture neGHG CH4,Electricity generation_Carrier_sum 2050 Nuclear,0.0,0.0,0.0849603610097187,0.0119776377135316,0.0849603610097187,0.0,0.0,0.088317623793724,0.0067090041852701,0.088317623793724,0.0,0.0,0.0765316822080096,0.0052174055352696,0.0765316822080096,0.0,0.0,0.0887543717606696,0.0045497699347147,0.0887543717606696,0.0,0.0,0.0986414005752981,0.0035584425647232,0.0986414005752981,0.0,0.0,0.1008470142845029,0.0043615211259588,0.1008470142845029,0.0,0.0,0.1043816179742649,0.0036237166612881,0.1043816179742649,0.0,0.0,0.1026057605802544,0.0032139907905921,0.1026057605802544,0.0,0.0,0.1106093483917759,0.0032145465030816,0.1106093483917759,0.0,0.0,0.1023678135824887,0.0033474132943616,0.1023678135824887
Agriculture neGHG CH4,Electricity generation_Carrier_sum 2050 Solar PV,0.0,0.0,0.1161271114677629,0.0260800414449677,0.1161271114677629,0.0,0.0,0.1009513175711364,0.0185215042037256,0.1009513175711364,0.0,0.0,0.0931716593899877,0.0128086621339843,0.0931716593899877,0.0,0.0,0.074474337583839,0.0126974655834302,0.074474337583839,0.0,0.0,0.0764349789505631,0.0101574716923368,0.0764349789505631,0.0,0.0,0.0771011432463447,0.010507843016097,0.0771011432463447,0.0,0.0,0.073727435409794,0.0100488417245933,0.073727435409794,0.0,0.0,0.0663478137239771,0.009735689901834,0.0663478137239771,0.0,0.0,0.0653799608676474,0.0081399157334671,0.0653799608676474,0.0,0.0,0.0789417569317771,0.0078379850344889,0.0789417569317771
Agriculture neGHG CH4,Electricity generation_Carrier_sum 2050 Wind offshore,0.0,0.0,0.0594753535757993,0.0245053221761546,0.0594753535757993,0.0,0.0,0.0764968041356449,0.0172609209107208,0.0764968041356449,0.0,0.0,0.0496689103489731,0.0140961465070152,0.0496689103489731,0.0,0.0,0.0594906456262112,0.0129293619305405,0.0594906456262112,0.0,0.0,0.0552936947502097,0.0104994617460392,0.0552936947502097,0.0,0.0,0.0686673716757681,0.0103800697703372,0.0686673716757681,0.0,0.0,0.0585013891366758,0.0102344077882141,0.0585013891366758,0.0,0.0,0.0602311053816377,0.007677537453013,0.0602311053816377,0.0,0.0,0.0688800406578443,0.0083449910616444,0.0688800406578443,0.0,0.0,0.0521073125880277,0.0085863489987133,0.0521073125880277
Agriculture neGHG CH4,Electricity generation_Carrier_sum 2050 Wind onshore,0.0,0.0,0.0891357164303929,0.0108248458390746,0.0891357164303929,0.0,0.0,0.0801050917963105,0.0095350823306574,0.0801050917963105,0.0,0.0,0.0964480867738763,0.008554985264639,0.0964480867738763,0.0,0.0,0.0926394459022751,0.0070118787644766,0.0926394459022751,0.0,0.0,0.1185501705806058,0.0057077163424973,0.1185501705806058,0.0,0.0,0.1088858142686353,0.0054430453409931,0.1088858142686353,0.0,0.0,0.1248071882975067,0.0057884995809011,0.1248071882975067,0.0,0.0,0.1168838469461008,0.0049103923125254,0.1168838469461008,0.0,0.0,0.1195011809722734,0.0045818352053011,0.1195011809722734,0.0,0.0,0.1256978652787427,0.0046011221636595,0.1256978652787427
Agriculture neGHG CH4,Flexibility Capacity 2050,0.0,0.0,0.1119939929274737,0.0227471375653176,0.1119939929274737,0.0,0.0,0.0754289606531545,0.0176315052280292,0.0754289606531545,0.0,0.0,0.0901667593586843,0.0125061748005313,0.0901667593586843,0.0,0.0,0.0625856910715162,0.0124812959008502,0.0625856910715162,0.0,0.0,0.076760060948111,0.0103156130467587,0.076760060948111,0.0,0.0,0.0899722473656442,0.0090174302695854,0.0899722473656442,0.0,0.0,0.082347217853733,0.0102048595966923,0.082347217853733,0.0,0.0,0.0796704056537131,0.0078233782264038,0.0796704056537131,0.0,0.0,0.0992706894022093,0.007681537161429,0.0992706894022093,0.0,0.0,0.0753090314612295,0.0075288986961359,0.0753090314612295
Agriculture neGHG CH4,Hourly Flexibility Capacity 2050,0.0,0.0,0.0754160122819816,0.0210736322223608,0.0754160122819816,0.0,0.0,0.0627826629965905,0.0142106401196162,0.0627826629965905,0.0,0.0,0.083757604508923,0.0116211995659922,0.083757604508923,0.0,0.0,0.060812750460459,0.0088397962112137,0.060812750460459,0.0,0.0,0.0931054416860174,0.0095239508793848,0.0931054416860174,0.0,0.0,0.0764983299610136,0.0070964552238387,0.0764983299610136,0.0,0.0,0.0747545899343385,0.0073608538303849,0.0747545899343385,0.0,0.0,0.0789264414326321,0.0069355679198219,0.0789264414326321,0.0,0.0,0.0696011354226028,0.0065643546198717,0.0696011354226028,0.0,0.0,0.0755478400859588,0.0061865180043642,0.0755478400859588
Agriculture neGHG CH4,Hydrogen Imports 2050,0.0,0.0,0.1069967966712035,0.0118988437682834,0.1069967966712035,0.0,0.0,0.0824341524325495,0.0103601074008617,0.0824341524325495,0.0,0.0,0.0826281951515873,0.0071909269572717,0.0826281951515873,0.0,0.0,0.0929548853272129,0.0067453831076395,0.0929548853272129,0.0,0.0,0.1054515605262006,0.0065901610259375,0.1054515605262006,0.0,0.0,0.1027215287818678,0.00510001220338,0.1027215287818678,0.0,0.0,0.1065819054403133,0.004916488303206,0.1065819054403133,0.0,0.0,0.1098454760379928,0.0047820960288789,0.1098454760379928,0.0,0.0,0.1101072683741713,0.0053347101917656,0.1101072683741713,0.0,0.0,0.1270588250259476,0.0042477336396468,0.1270588250259476
Agriculture neGHG CH4,Hydrogen Production 2050,0.0,0.0,0.0809462426813978,0.0207818881982254,0.0809462426813978,0.0,0.0,0.0641448077944547,0.0103837076379435,0.0641448077944547,0.0,0.0,0.0516451272246297,0.0112662601978486,0.0516451272246297,0.0,0.0,0.0704503914109167,0.0090948253517317,0.0704503914109167,0.0,0.0,0.0709408400448081,0.0082637226893398,0.0709408400448081,0.0,0.0,0.0902466116788976,0.0071874550954581,0.0902466116788976,0.0,0.0,0.079975863210598,0.006401728424649,0.079975863210598,0.0,0.0,0.0782907673962977,0.0061056583603756,0.0782907673962977,0.0,0.0,0.0831410017636596,0.0056888417036164,0.0831410017636596,0.0,0.0,0.0784136095172777,0.005365960747154,0.0784136095172777
Agriculture neGHG CH4,Methanol Production 2050,0.0,0.0,0.0630055635232207,0.0145263589358484,0.0630055635232207,0.0,0.0,0.0861957507817555,0.0106690367648767,0.0861957507817555,0.0,0.0,0.0713227326904608,0.0077800463497451,0.0713227326904608,0.0,0.0,0.0835769522639069,0.0072450807580713,0.0835769522639069,0.0,0.0,0.1068978724840842,0.0067593000146724,0.1068978724840842,0.0,0.0,0.0929308652081606,0.0058000334441498,0.0929308652081606,0.0,0.0,0.0966861102534965,0.0051576069987168,0.0966861102534965,0.0,0.0,0.0905685552376703,0.0055284498596129,0.0905685552376703,0.0,0.0,0.093840848695245,0.0043758877345263,0.093840848695245,0.0,0.0,0.1092171028500156,0.0049641839824215,0.1092171028500156
Agriculture neGHG CH4,Shedding Flexibility Capacity 2050,0.0,0.0,0.0362580061505816,0.0216680180677267,0.0362580061505816,0.0,0.0,0.0479563359952335,0.0123576926113023,0.0479563359952335,0.0,0.0,0.0682345388039495,0.0105502966018295,0.0682345388039495,0.0,0.0,0.071775180577765,0.0094877104947631,0.071775180577765,0.0,0.0,0.0822489536103467,0.0083913311293007,0.0822489536103467,0.0,0.0,0.0821159752935845,0.0084502684008537,0.0821159752935845,0.0,0.0,0.0867523968073593,0.0065287259365399,0.0867523968073593,0.0,0.0,0.0793864143294278,0.0075114312977111,0.0793864143294278,0.0,0.0,0.0903424176323068,0.0063387180685065,0.0903424176323068,0.0,0.0,0.0835434064761891,0.0071908609432142,0.0835434064761891
Agriculture neGHG CH4,Storage Flexibility Capacity 2050,0.0,0.0,0.0608583474684793,0.0216193174169916,0.0608583474684793,0.0,0.0,0.0790488509178462,0.0158221191839107,0.0790488509178462,0.0,0.0,0.0647619332049928,0.0122751045981343,0.0647619332049928,0.0,0.0,0.0647308024149031,0.012507221416799,0.0647308024149031,0.0,0.0,0.0617958992222244,0.0105701282317476,0.0617958992222244,0.0,0.0,0.0654350406448423,0.0088662232530216,0.0654350406448423,0.0,0.0,0.0729147987069538,0.0083975108016253,0.0729147987069538,0.0,0.0,0.0545877464375911,0.0085054176213718,0.0545877464375911,0.0,0.0,0.0583300716784645,0.0085994837338905,0.0583300716784645,0.0,0.0,0.0682651627739986,0.007298409092128,0.0682651627739986
Agriculture neGHG CH4,SynFuel Production 2050,0.0,0.0,0.0914531746919367,0.0153802160342626,0.0914531746919367,0.0,0.0,0.058988509956245,0.0107102476430544,0.058988509956245,0.0,0.0,0.0668088218904501,0.0094378041534923,0.0668088218904501,0.0,0.0,0.0722102494445985,0.0082332684949783,0.0722102494445985,0.0,0.0,0.0847435542095442,0.0071132430850062,0.0847435542095442,0.0,0.0,0.0779872115506231,0.0062039349265207,0.0779872115506231,0.0,0.0,0.0840419825342512,0.006353915615317,0.0840419825342512,0.0,0.0,0.0849400527491964,0.0057886320626624,0.0849400527491964,0.0,0.0,0.0865163741109139,0.0052851733316764,0.0865163741109139,0.0,0.0,0.0776376830664234,0.0056997757249343,0.0776376830664234
Agriculture neGHG CH4,Weekly Flexibility Capacity 2050,0.0,0.0,0.109909223042022,0.0200454339342537,0.109909223042022,0.0,0.0,0.0912921912674558,0.0147513245221966,0.0912921912674558,0.0,0.0,0.0843637037348406,0.0120407995824132,0.0843637037348406,0.0,0.0,0.1126623178193165,0.0106238572924895,0.1126623178193165,0.0,0.0,0.1138774625101374,0.008656983105439,0.1138774625101374,0.0,0.0,0.1160545328568654,0.008161869608028,0.1160545328568654,0.0,0.0,0.1142316718702308,0.0075952603609083,0.1142316718702308,0.0,0.0,0.1119183644309821,0.0072790091747277,0.1119183644309821,0.0,0.0,0.1057236838355349,0.0068938389035367,0.1057236838355349,0.0,0.0,0.1112308742798785,0.00576068996368,0.1112308742798785
