variant_id,group,cost_hpd8,cost_hourly,cost_pct,co2_hpd8,co2_hourly,co2_pct,pmean_hpd8,pmean_hourly,pmax_hpd8,pmax_hourly,p95_hpd8,p95_hourly,portfolio_l1_pct,worst_tech,worst_shift,pmax_pct,p95_pct,pmean_pct
797,adverse_weather,56032.076881219415,56407.100456073604,0.6693015781820641,158.32551034075792,156.25627003393035,-1.306953189270649,185.27290048036977,139.7061773278816,801.8185663962848,847.1654264095453,196.42141597809228,151.07457045575842,14.30463532191357,TNB01_10,1000.0,5.6555013707238775,-23.086507800855884,-24.594381064011092
1237,prim_boundary,46161.30273650118,46434.235792373904,0.5912594309365248,86.69540281650438,89.64418900192213,3.401317820345116,12.556201609206825,101.48576079626827,980.1024338308569,890.3360438992206,18.137183165808835,107.90395356113777,14.545799950949709,TNB01_10,1000.0,-9.158878381800637,494.93225918648733,708.2520809625572
1666,adverse_weather,46255.94107082882,46454.720178194824,0.4297374623978067,101.39889102588005,107.85318124446545,6.36524734470525,6.859014820022714,8.129736365064412,19.0398833669033,23.80318231430136,14.85269289830656,21.942208637014506,14.711654105105797,TNB01_10,1000.0,25.01747965367277,47.73219097202409,18.526298286048753
1986,constrained_trade,49534.88245135461,49988.226749857175,0.9152021284147891,201.2645888537829,201.64560193997605,0.18930954936635808,17.46612211138682,112.36852035743567,359.3419174677882,875.3809938330619,23.686102327884782,122.7536017623611,13.96216683205033,TNB01_10,1000.0,143.6067019405082,418.2515893205771,543.3512810733095
2690,cost_co2_extreme,104497.77951130258,111780.90576421234,6.969646902518162,9947.102532088318,9955.073316506912,0.08013172069837624,515.2503727787083,607.1821309006597,799.0762924187876,1034.6099018349391,799.0762916649052,1034.6098994307001,13.911812022849288,TNB01_10,1000.0,29.47573487672824,29.475734698003855,17.842152665736073
3116,near_infeasible,65900.65506211447,66423.08319829151,0.792751051844064,427.4875358099275,426.45180629555824,-0.2422829737964086,85.28707209813619,83.87077577181735,897.4199053418263,898.7815378642046,100.81990285398372,99.45843853762572,14.13844978155848,TNB01_10,1000.0,0.15172747052670155,-1.3503924104447793,-1.6606225204790375
3217,prim_boundary,46159.7045355304,46527.27251690612,0.7962962178252161,168.49588658195736,168.45339692115027,-0.025217031506834537,429.9442524643375,10.613110791958592,558.4165862161174,996.5231677997989,439.82340948888015,26.71471019421694,14.461822995292685,TNB01_10,1000.0,78.455152013362,-93.92603721905978,-97.5315146716983
3527,constrained_trade,50708.24718577693,51056.625580548425,0.687025117423531,164.33592648279492,161.64097558322052,-1.6399036761182837,264669.35661160835,142.51399232466198,264681.33892728295,844.3071023914903,264681.3389272504,153.93259331731207,14.417301152176728,TNB01_10,1000.0,-99.6810099624653,-99.94184229460936,-99.94615395066918
4570,prim_boundary,46161.20991784663,46458.429680254936,0.6438734230261063,171.18568492585487,172.0963704368191,0.5319869540251899,27.187001045130273,29.554169624516632,964.0681512862308,961.4866173099713,34.17178694282781,36.753377410912044,14.48524830569158,TNB01_10,1000.0,-0.267775050219768,7.554742373887115,8.706986752444198
5478,cost_co2_extreme,118027.17678830086,123707.12397902596,4.812406214640651,9943.624872733564,9964.536562500996,0.2103024805850641,475.62075215408896,511.80524453210813,806.5544052620402,1005.6659908870678,799.3057995491799,1005.6659897428349,13.776656311534333,TNB01_10,1000.0,24.68668998966518,25.817426860914193,7.607845581619265
6994,near_infeasible,62197.42644645691,62840.664664379685,1.0341878348881648,402.4483093359289,409.3076996581486,1.7044152411866746,36.23452222055896,93.95286730444634,950.2993678302885,891.7087211179698,47.94051318033824,106.53127682790941,14.650075394512049,TNB01_10,1000.0,-6.1654936008315,122.2155537367107,159.29103392769125
7189,prim_boundary,46164.92983997025,46402.29924840508,0.5141769071406811,78.86457540693497,77.33982987631596,-1.933371888140459,12.389056672333876,132.6867260156464,979.8035944685025,842.4321895487592,16.068520951083652,136.71039146870626,14.75612167684607,TNB01_10,1000.0,-14.020300159672395,750.7963606910977,970.9994273571323
7940,adverse_weather,45141.47339744531,45450.03170666237,0.6835361940900196,97.83758472934343,96.60656824357352,-1.258224525038492,22.31941479718662,65.99797707229986,967.2631799300291,923.4147436087773,30.976679208344347,74.8252487793195,13.687778105110407,TNB01_10,1000.0,-4.533247747983521,141.55348698308316,195.69761426101078
8106,cost_co2_extreme,120184.82706840688,126639.39416609987,5.370534080827997,9932.454745818342,9945.153383927465,0.12784994680664502,519.2605906682553,637.1564811484644,635.656262369965,1024.027955315347,635.6562623650287,1024.0279550132057,14.433011815420455,TNB01_10,1000.0,61.09775297381428,61.097752927533115,22.704571191987558
8128,near_infeasible,64160.79483888858,64847.1534255321,1.069747636959626,502.195830190423,502.1958830625566,1.0528190484599121e-05,57.822588928511514,40.50721494447747,923.7789295872324,941.7574561101684,74.45818916524097,56.48253537156931,13.994377009445412,TNB01_10,1000.0,1.9461936126827746,-24.141943277426844,-29.94569130317179
8232,constrained_trade,58481.20516456656,59099.14852875596,1.0566529237051492,482.6112536717623,524.1365488264674,8.604294831248936,27.676894525293527,149.4196864648392,970.2276867197788,827.1894659446659,34.98492058081003,171.05053132947154,14.666447513288036,TNB01_10,1000.0,-14.742747783121674,388.92645313963186,439.87157528922415
8239,cost_co2_extreme,147406.89406642228,153549.6980278663,4.167243330339799,10880.577155750032,11120.090808128485,2.201295473116313,487.8030284354273,552.6086468246921,524.6995020877431,1010.101724355889,524.6995017656759,1010.1017242930743,14.594996636269705,TNB01_10,1000.0,92.51051703627772,92.51051714247154,13.285202143398216
8813,constrained_trade,58509.42634829576,58864.8359330298,0.6074398723691949,182.00528916213753,180.44596662207582,-0.856745728236836,22.10735277406744,29.24953125439078,847.6515157456357,956.9634829978054,33.92539511855729,41.27645954977641,14.501876835793139,TNB01_10,1000.0,12.895861709869477,21.668323701256078,32.306801059877785
