driver,kpi,n_narrow,overlap_narrowed,overlap_random,delta_vs_control,verdict
WACC,co2_price,4993,1.0,0.95,0.050000000000000044,stable
WACC,elec_generation,4993,0.8,0.9,-0.09999999999999998,stable
WACC,vre_share,4993,0.8,0.85,-0.04999999999999993,stable
WACC,import_dependency,4993,1.0,1.0,0.0,stable
WACC,self_sufficiency,4993,1.0,1.0,0.0,stable
WACC,biomass_imports,4993,1.0,0.95,0.050000000000000044,stable
WACC,net_h2_imports,4993,1.0,0.85,0.15000000000000002,stable
WACC,fossil_imports,4993,1.0,0.975,0.025000000000000022,stable
WACC,net_elec_imports,4993,0.8,0.8999999999999999,-0.09999999999999987,stable
WACC,ccs_volume,4993,0.4,0.5,-0.09999999999999998,stable
WACC,res_share_primary,4993,1.0,0.9249999999999999,0.07500000000000007,stable
WACC,flex_use_total,4993,0.8,0.875,-0.07499999999999996,stable
WACC,unserved_energy,4993,0.8,0.875,-0.07499999999999996,stable
WACC,wind_capacity,4993,0.8,0.85,-0.04999999999999993,stable
WACC,solar_capacity,4993,0.8,0.8999999999999999,-0.09999999999999987,stable
Biomass Import Price,total_system_cost,4993,0.8,0.95,-0.1499999999999999,stable
Biomass Import Price,co2_price,4993,0.8,0.9249999999999999,-0.12499999999999989,stable
Biomass Import Price,elec_generation,4993,0.8,0.9249999999999999,-0.12499999999999989,stable
Biomass Import Price,vre_share,4993,0.8,0.85,-0.04999999999999993,stable
Biomass Import Price,import_dependency,4993,0.8,0.975,-0.17499999999999993,SHIFTS
Biomass Import Price,self_sufficiency,4993,0.8,1.0,-0.19999999999999996,SHIFTS
Biomass Import Price,biomass_imports,4993,0.8,0.95,-0.1499999999999999,stable
Biomass Import Price,net_h2_imports,4993,0.8,0.8999999999999999,-0.09999999999999987,stable
Biomass Import Price,fossil_imports,4993,1.0,0.975,0.025000000000000022,stable
Biomass Import Price,net_elec_imports,4993,0.8,0.85,-0.04999999999999993,stable
Biomass Import Price,ccs_volume,4993,0.4,0.425,-0.024999999999999967,stable
Biomass Import Price,res_share_primary,4993,0.8,0.95,-0.1499999999999999,stable
Biomass Import Price,flex_use_total,4993,1.0,0.8749999999999999,0.1250000000000001,stable
Biomass Import Price,unserved_energy,4993,1.0,0.8999999999999999,0.10000000000000009,stable
Biomass Import Price,wind_capacity,4993,0.8,0.975,-0.17499999999999993,SHIFTS
Biomass Import Price,solar_capacity,4993,1.0,0.8999999999999999,0.10000000000000009,stable
Bunker Emission Reduction,total_system_cost,4993,1.0,0.975,0.025000000000000022,stable
