Parameter,Outcome,Final_Delta,Max_Delta,Converged_At_Size,Max_Relative_Change,Sample_Sizes_Analyzed,Delta_Trajectory
Ammonia Import Price,techStocks 2050 EPB01_02,0.0574701492599616,0.07669889486156486,,1.172851389896445,10,"[0.03529873014703515, 0.07669889486156486, 0.06277700509196604, 0.039051905617756476, 0.05988888313597605, 0.07543364437683431, 0.050028458773181565, 0.06781245994062447, 0.04609044726756752, 0.0574701492599616]"
Agriculture neGHG N2O,BioEnergy Imports 2050,0.05744679377645762,0.10018963689647163,4000.0,0.41800908746131316,10,"[0.10018963689647163, 0.0822186105454588, 0.04785048417901447, 0.0604214093557568, 0.06271352686499682, 0.06947403538273805, 0.07786760437450178, 0.06804745589397557, 0.05522573240953476, 0.05744679377645762]"
Chemical Production,Daily Flexibility Capacity 2050,0.05733054988735329,0.08957609562850344,,0.4225596981853242,10,"[0.08232954602045775, 0.08909329840571288, 0.07805495480113847, 0.07844617087934264, 0.06488280459475859, 0.07414224177265227, 0.06296825064197334, 0.08957609562850344, 0.0743034518281367, 0.05733054988735329]"
Electricity Trade Ratio,BioEnergy Imports 2050,0.05722892361565482,0.0760670687512684,4000.0,0.5480949939142421,10,"[0.07505384872485334, 0.0760670687512684, 0.04819399326986924, 0.07460887971782125, 0.0529529036553628, 0.06731967999842714, 0.05467325147393383, 0.07558233638475065, 0.056837193987536686, 0.05722892361565482]"
Solar PV Costs,DR Flexibility Capacity 2050,0.057102723507297795,0.0889292563564365,,0.7765774621897635,10,"[0.06429033082920699, 0.0889292563564365, 0.06006951513448788, 0.04262622577606593, 0.0757287920119711, 0.06201827220466059, 0.07551276307896156, 0.05981491037841488, 0.04943290966939398, 0.057102723507297795]"
Solar PV Costs,Electricity generation_Carrier_sum 2050 Wind offshore,0.05706777746434649,0.09309704587952135,,0.5545976968417028,10,"[0.09309704587952135, 0.04146563865197247, 0.03008404566174604, 0.04093495569575138, 0.058612798866693135, 0.06037738108073661, 0.08442646079567147, 0.05585281819078312, 0.043499613077597754, 0.05706777746434649]"
Bunker aviation,Biomass Imports 2050,0.05697493661035923,0.10589901646399578,3600.0,0.35749338152983784,10,"[0.10589901646399578, 0.08254647262026364, 0.08975529996883144, 0.05766837427274894, 0.0538522794162241, 0.06673363049392758, 0.08555928047375976, 0.05809525213887392, 0.06152918078159086, 0.05697493661035923]"
Wind offshore Costs,BioFuel Production 2050,0.056952160968202686,0.07762599159260679,3200.0,1.1034819060122396,10,"[0.03626595075819242, 0.07628477122418861, 0.0597097674607605, 0.06526259803132925, 0.05534103531713768, 0.07762599159260679, 0.06477637144063207, 0.06651279756850408, 0.06252914745174061, 0.056952160968202686]"
Hydrogen Import Price,DR Flexibility Capacity 2050,0.05682575114412731,0.08465314260514802,3600.0,0.3647868043874929,10,"[0.07885865321916205, 0.050092057113042446, 0.0496643595233099, 0.060052481017312836, 0.06572719552828234, 0.0825971263898907, 0.08465314260514802, 0.05463500561382231, 0.05196971520962453, 0.05682575114412731]"
CCS potential,Storage Flexibility Capacity 2050,0.05682463195916585,0.12284389504413844,,0.8410284693930488,10,"[0.06755563466506023, 0.05884466022176996, 0.10833469474003916, 0.12284389504413844, 0.0969370704239116, 0.10499403247692662, 0.07663545320589618, 0.0902349649413876, 0.06399428966415205, 0.05682463195916585]"
