Parameter,Outcome,mu,mu_star,mu_star_conf,sigma,mu_star_norm,sigma_norm
CO2 Cap,3-Day Flexibility Capacity 2050,0.0,0.0,0.0,0.0,0.0,0.0
Buildings demand,3-Day Flexibility Capacity 2050,0.0,0.0,0.0,0.0,0.0,0.0
Steel Production,3-Day Flexibility Capacity 2050,0.0,0.0,0.0,0.0,0.0,0.0
Chemical Production,3-Day Flexibility Capacity 2050,1.297711425,1.297711425,2.322701840273699,5.803541922956241,0.2863047409039918,0.3997416703365292
Passenger Cars,3-Day Flexibility Capacity 2050,0.0,0.0,0.0,0.0,0.0,0.0
Bunker aviation,3-Day Flexibility Capacity 2050,0.0,0.0,0.0,0.0,0.0,0.0
Bunker navigation,3-Day Flexibility Capacity 2050,0.0,0.0,0.0,0.0,0.0,0.0
Agriculture neGHG CH4,3-Day Flexibility Capacity 2050,0.0,0.0,0.0,0.0,0.0,0.0
Agriculture neGHG N2O,3-Day Flexibility Capacity 2050,0.0,0.0,0.0,0.0,0.0,0.0
Wind offshore Costs,3-Day Flexibility Capacity 2050,0.0,0.0,0.0,0.0,0.0,0.0
Wind offshore Potential,3-Day Flexibility Capacity 2050,-3.24637515,3.24637515,5.4126131411953695,14.518231031732151,0.7162244072852386,1.0
Solar PV Costs,3-Day Flexibility Capacity 2050,0.0,0.0,0.0,0.0,0.0,0.0
Solar PV Potential,3-Day Flexibility Capacity 2050,0.0,0.0,0.0,0.0,0.0,0.0
Nuclear Costs,3-Day Flexibility Capacity 2050,0.0,0.0,0.0,0.0,0.0,0.0
Nuclear Potential,3-Day Flexibility Capacity 2050,-0.5775811500000001,0.5775811500000001,1.1145219457642288,2.583021427845005,0.1274275762053799,0.17791571316087731
Hydrogen Import Potential,3-Day Flexibility Capacity 2050,-3.24637515,3.24637515,5.7833476982698695,14.518231031732151,0.7162244072852386,1.0
Hydrogen Import Price,3-Day Flexibility Capacity 2050,0.0,0.0,0.0,0.0,0.0,0.0
Biomass Import Potential,3-Day Flexibility Capacity 2050,-4.532622900000001,4.532622900000001,5.754292762330566,14.102558046059242,1.0,0.9713688957859685
Biomass Import Price,3-Day Flexibility Capacity 2050,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia Import Potential,3-Day Flexibility Capacity 2050,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia Import Price,3-Day Flexibility Capacity 2050,0.0,0.0,0.0,0.0,0.0,0.0
CCS potential,3-Day Flexibility Capacity 2050,0.0,0.0,0.0,0.0,0.0,0.0
Flexibility Costs,3-Day Flexibility Capacity 2050,0.0,0.0,0.0,0.0,0.0,0.0
LNG Import Price,3-Day Flexibility Capacity 2050,0.0,0.0,0.0,0.0,0.0,0.0
Electricity Trade Price,3-Day Flexibility Capacity 2050,0.0,0.0,0.0,0.0,0.0,0.0
Weather Conditions,3-Day Flexibility Capacity 2050,2.0063780250000005,2.0063780250000005,4.068311806785293,8.972795304923544,0.44265275741337323,0.6180364043878293
Electricity Trade Ratio,3-Day Flexibility Capacity 2050,0.0,0.0,0.0,0.0,0.0,0.0
Electricity Trade Volume,3-Day Flexibility Capacity 2050,-3.24637515,3.24637515,6.244710652621354,14.518231031732151,0.7162244072852386,1.0
WACC,3-Day Flexibility Capacity 2050,0.0,0.0,0.0,0.0,0.0,0.0
Bunker Emission Reduction,3-Day Flexibility Capacity 2050,0.0,0.0,0.0,0.0,0.0,0.0
End-of-Life Emission Reduction,3-Day Flexibility Capacity 2050,0.0,0.0,0.0,0.0,0.0,0.0
CO2 Cap,BioEnergy Imports 2050,-30.913809975000003,30.920988375000015,28.723130631103356,63.41017436022872,0.10212648853645777,0.21324777322690686
Buildings demand,BioEnergy Imports 2050,23.73816727500002,23.73816727500002,14.724072407469627,37.756821484777326,0.07840291644903817,0.12697580769947528
Steel Production,BioEnergy Imports 2050,9.370694699999994,9.370694699999994,8.856829493349784,20.88067270641,0.03094972687328254,0.07022149052652
Chemical Production,BioEnergy Imports 2050,185.91677602500005,185.91677602500005,67.80322127869078,154.28050775887922,0.6140498248368927,0.5188437827815311
Passenger Cars,BioEnergy Imports 2050,2.407911824999996,2.416361024999997,3.0715789309471164,6.307651819977433,0.007980807842453239,0.021212569094345293
Bunker aviation,BioEnergy Imports 2050,10.553852850000018,11.36403390000001,13.457315148642644,35.978251503690814,0.03753336936521092,0.12099449489247556
Bunker navigation,BioEnergy Imports 2050,52.914661124999995,53.97592912499998,27.297846632943163,66.51131885588654,0.17827283009768813,0.2236768907120133
Agriculture neGHG CH4,BioEnergy Imports 2050,39.85469745000001,39.85469745000001,20.947714357681313,46.477237030535,0.1316329301278817,0.15630247673182673
Agriculture neGHG N2O,BioEnergy Imports 2050,14.062225050000013,14.062225050000013,7.925001013425605,18.467278468820144,0.04644501165192508,0.06210527018369316
Wind offshore Costs,BioEnergy Imports 2050,32.34678127499999,32.793056625,32.50826145287472,70.33610629019334,0.10830959479277873,0.23653961206014676
Wind offshore Potential,BioEnergy Imports 2050,-46.65125835,47.062824000000006,43.04406632903641,96.13930182143694,0.1554400815859861,0.32331549691920747
Solar PV Costs,BioEnergy Imports 2050,-0.3870729749999988,0.3870729749999988,0.6065342151371871,1.3908725873826921,0.0012784327352249446,0.00467749040424868
Solar PV Potential,BioEnergy Imports 2050,-17.540958749999998,18.195012599999984,17.57291715840676,38.344086783161266,0.0600948689989798,0.1289507749415202
Nuclear Costs,BioEnergy Imports 2050,12.929358449999999,12.993490949999998,16.503269521386283,32.71288038824538,0.04291517426482464,0.1100130849507148
Nuclear Potential,BioEnergy Imports 2050,-0.06922424999999777,0.06922424999999777,0.1274772777910961,0.2921069441518862,0.00022863530390204273,0.0009823526904473487
Hydrogen Import Potential,BioEnergy Imports 2050,-6.518559225000004,6.759219074999995,12.221800782909774,29.721704549018177,0.022324490440173175,0.09995379094181207
Hydrogen Import Price,BioEnergy Imports 2050,26.018506350000003,26.018506350000003,19.839369115691685,44.75495032799551,0.08593446814388991,0.15051044401971964
Biomass Import Potential,BioEnergy Imports 2050,297.894144975,297.894144975,58.38459190170061,158.24082081215187,0.9838910261505254,0.5321622754116592
Biomass Import Price,BioEnergy Imports 2050,-302.77148287500006,302.77148287500006,133.05236336126714,297.35445018109033,1.0,1.0
Ammonia Import Potential,BioEnergy Imports 2050,-32.957471850000026,33.11088255000002,33.09310478222665,75.50929695692189,0.10935931691978379,0.2539369998025466
Ammonia Import Price,BioEnergy Imports 2050,31.337625675000005,31.39560667500001,28.478863280843044,63.588492009078216,0.10369406780612084,0.21384745367137606
CCS potential,BioEnergy Imports 2050,-62.887525800000006,63.60116505,45.256383650747644,111.27139287746868,0.21006326106431197,0.374204565661297
Flexibility Costs,BioEnergy Imports 2050,9.674580599999997,9.692519999999998,6.946068555567575,16.246577617266343,0.03201265821986801,0.054637075743686016
LNG Import Price,BioEnergy Imports 2050,-38.00712570000001,46.02293580000002,39.08307836133985,90.83972576893238,0.15200551704204157,0.3054930764063243
Electricity Trade Price,BioEnergy Imports 2050,8.63653514999998,13.381472249999993,12.732470456258936,28.88422580925517,0.044196607034898874,0.09713735843423407
Weather Conditions,BioEnergy Imports 2050,16.773806549999996,31.77922215,20.670648902851873,56.80157605961356,0.10496108103787347,0.19102312417056855
Electricity Trade Ratio,BioEnergy Imports 2050,23.919112950000006,26.698144800000005,24.66816837524958,55.83689880346358,0.08817919226237829,0.18777892434250987
Electricity Trade Volume,BioEnergy Imports 2050,1.0087508250000057,14.913071775,18.221903573233426,42.0721261276713,0.04925520604976162,0.14148813344494815
WACC,BioEnergy Imports 2050,34.12073272500002,35.30566762500003,27.033228566948473,61.79492363099804,0.11660829907014743,0.20781570140741001
Bunker Emission Reduction,BioEnergy Imports 2050,129.9682047,130.17369465,76.26430367843626,171.8778150951505,0.42994040724681626,0.578023348870266
End-of-Life Emission Reduction,BioEnergy Imports 2050,0.0,0.0,0.0,0.0,0.0,0.0
CO2 Cap,BioFuel Imports 2050,-0.4108345499999997,0.6454641000000008,0.7004660680795223,1.748790675232074,0.01181633158029725,0.05708649038966327
Buildings demand,BioFuel Imports 2050,0.038360925000000365,0.2641833750000001,0.29233546806476285,0.6940987682458664,0.004836331496983347,0.02265775042383874
Steel Production,BioFuel Imports 2050,0.5456666250000001,0.7806084750000003,0.5441433341682727,1.3561719815287456,0.014290382028977552,0.04427007753800917
Chemical Production,BioFuel Imports 2050,54.62474504999999,54.62474504999999,13.20446629793172,30.634054805175587,1.0,1.0
Passenger Cars,BioFuel Imports 2050,-0.03321577500000021,0.04414222500000005,0.06986103743698413,0.17249835330193994,0.0008080994237976779,0.005630934409401022
Bunker aviation,BioFuel Imports 2050,-0.26918175,0.86130915,0.6369149903379433,1.6738400609019446,0.015767746818984928,0.054639846783167315
Bunker navigation,BioFuel Imports 2050,-0.1489700249999993,1.2661946250000002,0.7577929458451786,2.4584156309588616,0.023179872488942637,0.0802510685116198
Agriculture neGHG CH4,BioFuel Imports 2050,-0.09799807499999993,0.9188363250000006,0.7984407742410369,2.166217301400764,0.016820880796037708,0.07071271874315456
Agriculture neGHG N2O,BioFuel Imports 2050,-0.31978177500000077,0.3533489250000006,0.5043237055126263,1.2490598032655826,0.006468660396978835,0.040773570825320696
Wind offshore Costs,BioFuel Imports 2050,-0.7524536999999998,0.9169802999999999,0.6941397411593526,2.0420860842151054,0.016786903063083496,0.06666065257120639
Wind offshore Potential,BioFuel Imports 2050,-0.6864466499999994,1.5181949999999995,1.5860144623572756,4.073946318349527,0.027793173196695768,0.1329874985292916
Solar PV Costs,BioFuel Imports 2050,-0.3727011750000001,0.3727011750000001,0.6253207812189131,1.393438977962599,0.006822936650026528,0.0454865993687254
Solar PV Potential,BioFuel Imports 2050,-0.03319004999999988,0.7756936499999992,0.8362542209294914,2.3112368612495957,0.014200407695998929,0.0754466516413986
Nuclear Costs,BioFuel Imports 2050,0.6082349249999996,1.6578972750000003,2.1384883471913008,4.8321897810496095,0.03035066385174828,0.15773915049055853
Nuclear Potential,BioFuel Imports 2050,-0.06922425000000017,0.06922425000000017,0.12496999098253918,0.2921069441518816,0.0012672690725903935,0.009535366637214819
Hydrogen Import Potential,BioFuel Imports 2050,0.1203299249999998,0.1203299249999998,0.1949231587092519,0.44825673259350163,0.0022028464369006667,0.014632628146822051
Hydrogen Import Price,BioFuel Imports 2050,3.344604975,3.7936263749999997,3.7494270844136763,8.733921077364267,0.0694488618945051,0.28510496350906445
Biomass Import Potential,BioFuel Imports 2050,-7.226690400000001,7.226690400000001,6.172656864457852,14.291357122983849,0.1322970092287873,0.4665186249052914
Biomass Import Price,BioFuel Imports 2050,12.439581225000001,12.439581225000001,11.945091659397207,25.4168365528643,0.2277279502835868,0.8296922073982239
Ammonia Import Potential,BioFuel Imports 2050,0.36666914999999956,0.8663733000000002,0.7382319315304934,1.9729874143880213,0.01586045480316618,0.06440503638632544
Ammonia Import Price,BioFuel Imports 2050,0.5240830500000007,2.8320987000000004,2.8356179746180965,7.490651581827244,0.05184644243936844,0.2445204080708802
CCS potential,BioFuel Imports 2050,-2.4606513,5.555962200000001,4.821281116171697,13.116239605566753,0.10171145320521732,0.4281587824067867
Flexibility Costs,BioFuel Imports 2050,-0.2680537499999993,0.7191205500000007,0.5821702119223294,1.4542827564725003,0.013164739704354939,0.04747274775478958
LNG Import Price,BioFuel Imports 2050,1.17412875,2.86101705,3.79093048611725,8.786554340965061,0.05237584262189615,0.28682309269357914
Electricity Trade Price,BioFuel Imports 2050,1.3296513,1.3316197500000002,2.398510211095426,5.916521464422818,0.024377592037841476,0.1931354338186804
Weather Conditions,BioFuel Imports 2050,1.5927524249999998,2.3799824249999992,2.5179436726171485,5.81846394389381,0.04356967566295304,0.1899345020075758
Electricity Trade Ratio,BioFuel Imports 2050,-0.4777334249999994,0.5613978749999993,0.47113188446379606,1.1519794471915021,0.010277354603415204,0.03760453699380588
Electricity Trade Volume,BioFuel Imports 2050,-0.6357216750000001,1.1596787250000007,0.8864260558496159,2.3026039175958495,0.02122991556186679,0.0751648429252933
WACC,BioFuel Imports 2050,3.7939911750000013,5.733567525,5.207315264439731,11.547929254498642,0.10496282444434038,0.3769637851711238
Bunker Emission Reduction,BioFuel Imports 2050,6.7495876500000005,9.198641850000001,5.773216231020094,15.730608123446903,0.16839697542899568,0.5135006848910264
End-of-Life Emission Reduction,BioFuel Imports 2050,0.0,0.0,0.0,0.0,0.0,0.0
CO2 Cap,BioFuel Production 2050,-2.805098775000002,11.463472275000004,8.817739217556674,21.04112205955128,0.1591117430514341,0.24888707081472733
Buildings demand,BioFuel Production 2050,2.578081575,7.513409474999994,5.3897844695685855,14.130349599029243,0.10428530284262488,0.1671422898140559
Steel Production,BioFuel Production 2050,-1.7330979749999975,7.4196038249999985,4.10658878680594,11.492405883212436,0.10298329066677461,0.13593910195432235
Chemical Production,BioFuel Production 2050,12.078625575000004,31.045648725,15.135123643215909,45.72106368440671,0.4309102132667112,0.5408162921511166
Passenger Cars,BioFuel Production 2050,0.18988627499999994,1.8792101250000037,1.2807794611518806,3.5488372796619156,0.026083231273715785,0.04197778582498255
Bunker aviation,BioFuel Production 2050,22.9428054,24.54687779999999,9.309976984002212,21.960997120338725,0.3407079826717293,0.2597679073379383
Bunker navigation,BioFuel Production 2050,24.290799224999997,24.323218575000002,10.408288262111551,24.646198089307322,0.3376036170584508,0.2915300824645301
Agriculture neGHG CH4,BioFuel Production 2050,9.000370424999996,10.75309462499999,5.959895999362811,14.457901343496216,0.14925177886215588,0.17101676922584338
Agriculture neGHG N2O,BioFuel Production 2050,4.000412625,5.131198574999997,2.8682631356977177,7.617042298013189,0.07122047575338897,0.09009896622712767
Wind offshore Costs,BioFuel Production 2050,7.791715199999999,16.762867649999997,9.471985428039567,27.76594590309914,0.23266677201711952,0.32843233952371725
Wind offshore Potential,BioFuel Production 2050,-11.402382825000002,19.395210225,10.655296507569854,32.175938614829576,0.2692033994341166,0.3805963907197727
Solar PV Costs,BioFuel Production 2050,-1.0051438500000007,1.0154809499999995,1.7111950420974917,4.519529904625554,0.014094764667629997,0.053459723119243505
Solar PV Potential,BioFuel Production 2050,-0.9960035249999993,5.775670274999998,4.158653321896965,11.43966560975909,0.08016567255540426,0.13531525821934373
Nuclear Costs,BioFuel Production 2050,-0.6091382250000033,7.611944925,8.435856875363648,20.070760110940306,0.10565296412585143,0.23740904495962675
Nuclear Potential,BioFuel Production 2050,-3.0981105750000024,4.386160274999997,3.687965982557579,10.249274672150367,0.0608794255280045,0.12123459689589766
Hydrogen Import Potential,BioFuel Production 2050,3.350302800000003,3.7793563499999996,4.254391028233097,9.690829281515933,0.05245705332863516,0.11462896830386646
Hydrogen Import Price,BioFuel Production 2050,-0.3103895250000037,6.557658525000003,4.077459523283854,12.880717159855926,0.09101958405084086,0.15236088431197964
Biomass Import Potential,BioFuel Production 2050,55.53061365000001,55.53061365000001,16.626253457823328,38.62978008245851,0.7707588519960247,0.45693631659609457
Biomass Import Price,BioFuel Production 2050,-72.04667647500001,72.04667647500001,39.0718913017038,84.54084011143507,1.0,1.0
Ammonia Import Potential,BioFuel Production 2050,-34.693836225000005,34.693836375000004,18.81190497466973,41.828809773652075,0.4815466593665658,0.49477636747537207
Ammonia Import Price,BioFuel Production 2050,8.797341825000004,8.797341825000004,8.68585566884329,19.9419261340423,0.12210614361999968,0.2358851190472726
CCS potential,BioFuel Production 2050,-51.763259774999995,51.791517524999996,19.608010223319145,43.36039261788152,0.7188606061928686,0.5128928522679367
Flexibility Costs,BioFuel Production 2050,3.2215726499999944,4.42334415,2.5521402545532816,7.182407145960828,0.0613955336515056,0.0849578397434133
LNG Import Price,BioFuel Production 2050,-14.830894575000006,16.550606325000004,10.931446713712392,30.928470018746903,0.22972060801087774,0.36584058045767504
Electricity Trade Price,BioFuel Production 2050,5.205714224999997,7.3131321749999945,4.692616060957467,11.581691819365412,0.1015054757943988,0.1369952298096321
Weather Conditions,BioFuel Production 2050,4.635683024999999,14.534914725000002,7.4695815250953626,22.29212006698505,0.20174302877168213,0.2636846290810611
Electricity Trade Ratio,BioFuel Production 2050,12.266916074999994,15.693006674999996,10.605250257811326,25.432707254539423,0.21781721854227964,0.3008333868106353
Electricity Trade Volume,BioFuel Production 2050,3.4876291499999987,5.97423885,3.887419593136635,10.060653190177515,0.08292178268727002,0.11900346834637975
WACC,BioFuel Production 2050,2.445291675000006,19.16671342499999,10.470924624534677,31.977769027357862,0.2660318888082337,0.37825232142485554
Bunker Emission Reduction,BioFuel Production 2050,56.641210875,56.984447325000005,18.10017800049679,42.33854200515462,0.7909379046065149,0.5008057874673033
End-of-Life Emission Reduction,BioFuel Production 2050,0.0,0.0,0.0,0.0,0.0,0.0
CO2 Cap,Biomass Imports 2050,-30.502975425,30.502975425,25.560514211359862,63.751119733487755,0.09677000238583947,0.20252681817111576
Buildings demand,Biomass Imports 2050,23.699806350000006,23.699806350000006,16.077122549199725,37.93019494767186,0.07518710175249843,0.12049798854477069
Steel Production,Biomass Imports 2050,8.825028074999997,8.825028074999997,8.99857962309592,21.172450131746757,0.02799720276379726,0.06726139048216369
Chemical Production,Biomass Imports 2050,131.29203097500002,131.29203097500002,75.99773721406598,164.1903562332751,0.4165210106119495,0.5216057468687852
Passenger Cars,Biomass Imports 2050,2.441127599999998,2.449576799999997,2.4327459492358807,6.441126050230847,0.007771227215624873,0.020462397677810513
Bunker aviation,Biomass Imports 2050,10.823034600000007,10.823034600000007,16.517709765331542,36.15772378569505,0.03433583345464809,0.11486713929481376
Bunker navigation,Biomass Imports 2050,53.06363114999999,53.841956399999994,27.276357832640855,67.52860066956357,0.1708123937645753,0.21452725358125047
Agriculture neGHG CH4,Biomass Imports 2050,39.952695524999996,39.952695524999996,18.513232279829563,47.43783581245001,0.12674902652631853,0.1507021992426688
Agriculture neGHG N2O,Biomass Imports 2050,14.382006825000014,14.382006825000014,8.812673230179469,19.01161778467343,0.04562659266439122,0.060396781645746585
Wind offshore Costs,Biomass Imports 2050,33.099234975,33.099234975,28.56943931605639,71.744325812288,0.10500657732147162,0.22791991872986683
Wind offshore Potential,Biomass Imports 2050,-45.964811700000006,45.964811700000006,43.128087948536155,96.79552853061506,0.14582232965470326,0.30750346799319545
Solar PV Costs,Biomass Imports 2050,-0.014371799999999268,0.014371799999999268,0.02917315967026768,0.06427264351805964,4.559421174200867e-05,0.00020418361342634358
Solar PV Potential,Biomass Imports 2050,-17.507768699999993,17.507768699999993,14.06505982756251,38.33531501405493,0.05554300179782297,0.12178498833967367
Nuclear Costs,Biomass Imports 2050,12.321123524999994,12.321123524999994,13.671536562169456,34.272953650663105,0.03908848682129744,0.10887953468445188
Nuclear Potential,Biomass Imports 2050,0.0,0.0,0.0,0.0,0.0,0.0
Hydrogen Import Potential,Biomass Imports 2050,-6.63888915,6.63888915,13.035620315015516,29.690014868971602,0.0210617262720633,0.09432029222393971
Hydrogen Import Price,Biomass Imports 2050,22.673901374999993,22.673901374999993,20.334479279848487,44.6243028249041,0.07193244133018993,0.1417640678628708
Biomass Import Potential,Biomass Imports 2050,305.120835375,305.120835375,81.06135859551803,161.45083072243847,0.9679889766756444,0.5129027250657516
Biomass Import Price,Biomass Imports 2050,-315.21106410000004,315.21106410000004,145.46986995189835,314.7786565215485,1.0,1.0
Ammonia Import Potential,Biomass Imports 2050,-33.32414100000001,33.32414100000001,36.0393230425828,77.04385601171289,0.10572008661925648,0.24475565422091689
Ammonia Import Price,Biomass Imports 2050,30.813542625000004,30.813542625000004,28.270593477155163,67.0793662894719,0.09775526983159599,0.21310010986999658
CCS potential,Biomass Imports 2050,-60.42687450000001,60.42687450000001,47.13303466057878,114.94708425227829,0.19170289809633623,0.36516797397414863
Flexibility Costs,Biomass Imports 2050,9.942634349999995,9.942634349999995,8.781864274533467,17.17802584834756,0.03154278349457212,0.05457176175212381
LNG Import Price,Biomass Imports 2050,-39.18125445,47.19706455000001,36.621513570912434,96.50051982736598,0.14973162406198673,0.30656627388191404
Electricity Trade Price,Biomass Imports 2050,7.306883849999987,12.066515399999995,10.789230170473722,28.63342693614261,0.038280748280371014,0.09096368620590538
Weather Conditions,Biomass Imports 2050,15.181054124999992,31.56822727499999,20.22103750353369,57.81981205077454,0.10014948988270614,0.18368402956448993
Electricity Trade Ratio,Biomass Imports 2050,24.396846375000006,27.047541675000012,21.377654211943224,56.89539655543691,0.0858077166555906,0.1807473136335153
Electricity Trade Volume,Biomass Imports 2050,1.6444725000000031,14.874572699999998,17.244729024162588,43.07976279524305,0.04718924680664468,0.13685731831787643
WACC,Biomass Imports 2050,30.32674155000001,30.32674155000001,26.216767810067577,63.68769197636856,0.09621090438747706,0.20232531862276615
Bunker Emission Reduction,Biomass Imports 2050,123.21861705,123.21861705,77.22373023584083,178.3764349851043,0.3909082868071825,0.5666725849720798
End-of-Life Emission Reduction,Biomass Imports 2050,0.0,0.0,0.0,0.0,0.0,0.0
CO2 Cap,CO2 Storage 2050,-0.1480628999999997,0.15151439999999958,0.23568321069557532,0.5072638965189307,0.0051497257725753465,0.2524493822120524
Buildings demand,CO2 Storage 2050,-3.884999999996808e-05,0.0005171999999998178,0.0006490502373767894,0.0016822736189292635,1.757877910993964e-05,0.0008372149855819223
Steel Production,CO2 Storage 2050,0.02251619999999912,0.02251619999999912,0.036982428839164576,0.09991446709803364,0.0007652886817388763,0.04972430655136072
Chemical Production,CO2 Storage 2050,0.4716221250000009,0.5087192250000003,0.5858489312529548,1.2758500550497687,0.01729053148735081,0.6349506842549499
Passenger Cars,CO2 Storage 2050,0.011942174999999989,0.011942174999999989,0.02130412872813833,0.053399616330987734,0.00040589492733433325,0.026575319563700486
Bunker aviation,CO2 Storage 2050,-0.08915812499999945,0.09202717500000013,0.16241211881537235,0.4055290786554377,0.00312785263232276,0.2018191439961221
Bunker navigation,CO2 Storage 2050,0.33566970000000024,0.3379264500000003,0.6119634648918886,1.2904657459806632,0.011485565390483682,0.6422244566866706
Agriculture neGHG CH4,CO2 Storage 2050,0.060132374999999974,0.06124777499999974,0.08752169346732508,0.19085498822065747,0.0020817113451288825,0.09498256075197622
Agriculture neGHG N2O,CO2 Storage 2050,0.07542104999999957,0.07714065000000012,0.12005554028301325,0.2940756063373531,0.002621884081105269,0.14635223530190455
Wind offshore Costs,CO2 Storage 2050,0.0007052249999993876,0.023855625000000026,0.025956111256952862,0.07293791364695194,0.0008108135390655491,0.036298919293030904
Wind offshore Potential,CO2 Storage 2050,-2.6249999997673966e-06,2.6249999997673966e-06,4.677810364208982e-06,1.1739356880833671e-05,8.921944153039235e-08,5.842310900639206e-06
Solar PV Costs,CO2 Storage 2050,0.0610828500000002,0.0610828500000002,0.09334182170357276,0.2240562920634304,0.002076105815073392,0.11150581166981455
Solar PV Potential,CO2 Storage 2050,-0.00032887500000020606,0.0027879749999999426,0.003251430509722157,0.008861099166812438,9.475869429437398e-05,0.004409892022146011
Nuclear Costs,CO2 Storage 2050,0.11933872500000006,0.12174367500000009,0.20863287711466996,0.5392815462986134,0.004137867693074316,0.2683835655084209
Nuclear Potential,CO2 Storage 2050,-0.0004194749999998137,0.0004194749999998137,0.000733266522612719,0.0018759492297226149,1.4257266757813715e-05,0.0009336012820044566
Hydrogen Import Potential,CO2 Storage 2050,0.029983274999999487,0.030016874999999922,0.04893580829468003,0.1341683893478504,0.0010202243139904369,0.06677141274134993
Hydrogen Import Price,CO2 Storage 2050,0.17705302499999984,0.17705302499999984,0.2912275203686098,0.6615428757449769,0.006017741719301458,0.3292292067988155
Biomass Import Potential,CO2 Storage 2050,-1.8074999999928564e-05,6.847499999951268e-05,5.619106093706679e-05,0.00015617940720988278,2.3273528606824714e-06,7.77256081793869e-05
Biomass Import Price,CO2 Storage 2050,0.2888201249999992,0.2888201249999992,0.4967973122276877,1.2892012370746004,0.009816522002865294,0.6415951501376971
Ammonia Import Potential,CO2 Storage 2050,-0.0198963749999999,0.0198963749999999,0.03319228369933879,0.08292588761784321,0.0006762451299567803,0.04126962167458204
Ammonia Import Price,CO2 Storage 2050,0.4044057750000003,0.4044057750000003,0.8627700408696343,1.8084700486680325,0.013745088533471499,0.9000190032609726
CCS potential,CO2 Storage 2050,29.4218385,29.4218385,0.9335426295547801,2.0093687378994622,1.0,1.0
Flexibility Costs,CO2 Storage 2050,0.043224974999999596,0.06538057499999975,0.09922568754269452,0.2497359231363702,0.0022221784338867794,0.12428576120749103
LNG Import Price,CO2 Storage 2050,0.06672457500000029,0.06776947500000005,0.1283857059748029,0.3008698575064122,0.002303373223940443,0.14973352169345142
Electricity Trade Price,CO2 Storage 2050,-0.04744462499999935,0.051440924999999194,0.08219625614173576,0.1844145844918774,0.0017483926097955841,0.09177737316877899
Weather Conditions,CO2 Storage 2050,0.1941731249999993,0.1941731249999993,0.22497571248807122,0.5051790383958152,0.006599625818760418,0.2514118135051286
Electricity Trade Ratio,CO2 Storage 2050,0.11320807500000019,0.11320807500000019,0.2188964274079888,0.46737321238228213,0.0038477566587145867,0.2325970358585657
Electricity Trade Volume,CO2 Storage 2050,-0.0358856249999997,0.0358856249999997,0.05410204291564175,0.1492353353619774,0.001219693494001053,0.07426976071996812
WACC,CO2 Storage 2050,0.1716115499999999,0.17662005,0.20050512012667482,0.5389644250406932,0.006003025609701447,0.2682257441728249
Bunker Emission Reduction,CO2 Storage 2050,0.025527225000000264,0.025527225000000264,0.05284382172003368,0.11134663507305222,0.0008676284794371454,0.0554137391375218
End-of-Life Emission Reduction,CO2 Storage 2050,0.0,0.0,0.0,0.0,0.0,0.0
CO2 Cap,CO2 Price 2050,-1191.405340275,1195.0750458750001,1836.9576715316985,4580.939864652017,0.26262293803314646,0.3582258362928021
Buildings demand,CO2 Price 2050,119.96873010000002,120.81307485000002,124.133471652287,308.80354571516204,0.02654919854568203,0.024148190476715552
Steel Production,CO2 Price 2050,47.56319445,49.81807710000001,30.371532201494684,80.58420284831942,0.010947739073226603,0.006301620259213093
Chemical Production,CO2 Price 2050,1006.524018675,1051.511390475,812.4665794808575,1769.889044728115,0.23107420048225813,0.1384039087885647
Passenger Cars,CO2 Price 2050,11.865421874999965,12.86200867499998,10.933046660047788,29.90587129506952,0.002826482335896437,0.0023386152342680846
Bunker aviation,CO2 Price 2050,82.63161787499995,87.17486212499995,98.77576696916253,200.44724913768778,0.019157055025895483,0.01567481468355718
Bunker navigation,CO2 Price 2050,140.78081834999998,167.98413584999997,141.85108258075914,344.23035105880535,0.036915244320565116,0.026918538341208414
Agriculture neGHG CH4,CO2 Price 2050,40.08220357500001,41.889966525,23.504597148152076,58.04009887484238,0.009205502299523657,0.004538689345911491
Agriculture neGHG N2O,CO2 Price 2050,43.555622025000034,43.788025575000034,57.006555098551736,124.76941675345608,0.00962260902934115,0.009756868673426077
Wind offshore Costs,CO2 Price 2050,28.81716899999998,64.48668045,32.664851176898026,95.11762597310442,0.014171228444807697,0.007438122332345794
Wind offshore Potential,CO2 Price 2050,-1979.2004223750002,1980.7031576250004,3146.941431295805,7929.785027738594,0.43526813184033,0.6201028516229135
Solar PV Costs,CO2 Price 2050,3.3610184999999744,4.417504800000003,3.6835369381544187,9.568158639024269,0.000970765889017545,0.0007482223586244429
Solar PV Potential,CO2 Price 2050,-114.311797275,127.91194672500005,203.3149136434157,456.23563825983774,0.0281092065091722,0.03567726228482718
Nuclear Costs,CO2 Price 2050,28.230629924999967,34.31977822499998,26.817490243877646,69.84917375247433,0.0075419205021524955,0.005462149563437261
Nuclear Potential,CO2 Price 2050,-272.746852725,272.83603882499995,392.97155245362154,897.7157958086633,0.05995690594065145,0.07020065777074885
Hydrogen Import Potential,CO2 Price 2050,-1644.9393884250003,1645.1007672749997,2689.755520610063,7230.572463306281,0.36151804721687214,0.5654249879004594
